2019 Median Household Income,2019 Unemployed Population 16+: Percent,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Total Daytime Population,2014-2018 ACS Average Number of Vehicles,2019 Total Households,Housing_Density,Daytime_Pop_Density,Shape_Area_sqmi,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Building_Count_Com_Ind_MU,Building_Count_Other,Building_Count_Residential,Median Contract Rent,Median Gross Rent
17916,19.7,42.42,1641,1,719,926.3406305,2114.221105,0.776172367,9600,27120,14100,6930,67077.8214,103189.4491,20960.27354,9330,105,79,433,431,589
17929,15.62,42.42,3859,1,1203,1549.913451,4971.833754,0.776172372,8010,29610,17610,10350,109722.7962,136705.4421,6043.787224,1230,187,11,783,399,458
16757,7.91,42.35,29632,0,1426,1837.220757,38177.08659,0.776172376,750,7980,21090,36780,62620.12432,345776.3599,62473.92408,240,180,22,61,433,467
17890,19.75,42.34,1636,1,717,923.7638896,2107.779252,0.776172362,9600,26850,14130,6990,65629.4713,113693.0797,20960.27354,9630,105,79,424,430,589
16262,8.07,42.33,21958,0,1604,2066.551285,28290.10793,0.776172366,690,7680,18720,39600,50573.39847,359116.5431,43808.6143,240,195,18,51,420,443
18060,15.55,42.27,3895,1,1214,1564.085563,5018.215212,0.776172371,8130,29940,17460,10320,110749.786,138006.8285,6201.415421,1290,186,12,793,401,459
16943,7.84,42.18,29614,0,1450,1868.14176,38153.89662,0.776172361,750,7830,21330,36960,60403.80498,349214.0895,62473.92408,240,187,22,59,438,472
27362,14.96,41.98,2241,1,598,770.4474226,2887.245274,0.776172367,5010,26790,20940,13740,92392.8922,171369.5808,16335.63737,660,179,8,641,541,790
17507,7.5,41.86,30034,0,1421,1830.778904,38695.0131,0.776172369,660,7710,21120,37110,51316.68151,350072.6565,50766.04996,240,195,20,46,455,497
18047,21.05,41.81,1040,1,344,443.2005253,1339.908565,0.776172365,8640,19620,13170,10740,41850.97701,134569.8919,694.948737,14910,103,5,263,432,582
17822,21.06,41.77,1541,1,637,820.6940032,1985.383766,0.776172358,9780,22980,12960,9840,54780.82832,121536.9958,7403.043223,11280,104,24,346,432,584
27451,14.33,41.67,2245,1,597,769.1590405,2892.398737,0.776172376,5070,26220,21450,13470,91660.24891,157001.2758,30094.15133,690,180,10,636,543,791
18131,15.71,41.61,4568,1,1283,1652.983353,5885.29069,0.776172366,4350,32400,18630,11610,119365.8053,149958.542,6320.414664,90,206,11,873,420,471
17521,20.92,41.61,1399,1,514,662.2240354,1802.43468,0.776172371,9930,21240,12900,10530,53256.58592,124487.983,1409.73315,12300,104,8,341,434,588
17562,20.99,41.52,1371,1,498,641.6100629,1766.360233,0.776172365,9930,21300,12630,10530,52256.04435,127463.6236,926.4695402,12750,99,6,335,434,586
17741,21.04,41.48,1036,1,373,480.5633576,1334.755063,0.77617237,8850,18390,12510,10680,36589.66118,113134.1287,694.948737,16770,95,5,209,434,585
17262,20.97,41.4,1910,1,398,512.7727013,2460.793617,0.776172364,9660,17760,11460,10080,38527.9912,104287.851,694.948737,18090,88,5,208,435,589
15352,9.19,41.34,11210,0,1373,1768.936974,14442.66823,0.776172368,840,11640,21120,32940,58810.54494,289505.333,22917.32529,240,173,17,163,371,408
15352,9.19,41.34,11239,0,1373,1768.936974,14480.03106,0.776172368,810,11670,21000,33300,58303.32833,285216.5038,22917.32529,240,170,17,162,371,408
19008,11.94,41.19,3943,1,1062,1368.252762,5080.057102,0.776172378,8310,24720,21420,12480,86870.43981,143926.7055,4813.163496,240,201,15,496,458,526
16507,20.51,41.16,1881,1,454,584.9216199,2423.430764,0.77617237,12180,15600,9420,9780,43144.1541,88536.69964,587.2873565,19980,43,4,194,441,604
16507,20.51,41.16,1881,1,454,584.9216205,2423.430767,0.776172369,11970,15990,9360,9960,44031.97379,99370.46786,587.2873565,19800,46,4,200,441,604
16658,20.63,41.16,1954,1,443,570.7495098,2517.482037,0.77617237,9870,16290,10410,12090,38132.98789,129070.2804,694.948737,18450,90,5,192,440,596
27249,15.7,41.11,2180,1,656,845.1731002,2808.65451,0.77617236,6570,27450,19350,12840,100964.2707,152259.9719,1008.133073,660,170,6,709,537,784
19126,11.73,41.06,4015,1,1076,1386.289995,5172.820011,0.776172376,7230,25350,21660,12690,87664.20529,135053.4442,5524.272484,210,195,18,516,458,529
18038,10.42,40.98,2314,1,626,806.5218788,2981.29653,0.776172372,18870,21600,15030,6120,52914.71651,81521.12729,28291.16853,5280,94,59,328,454,656
16121,20.2,40.97,2080,1,484,623.5728339,2679.817137,0.776172363,12870,15540,8490,9360,44197.84548,88806.84805,323.5752099,20850,39,2,211,444,607
17995,10.05,40.91,2155,1,614,791.0614102,2776.445178,0.776172358,19860,21570,14310,5790,55710.74572,73977.45353,25271.22378,5520,88,52,342,453,658
23192,15.71,40.87,3986,1,1121,1444.266825,5135.457238,0.776172367,4470,32430,18510,11370,139825.4484,155374.4022,13359.2852,60,184,13,1010,510,709
15454,19.88,40.75,1154,1,415,534.6750489,1486.783148,0.77617237,12780,14610,7950,7290,39621.07408,51374.80599,146.7478717,24330,28,1,182,449,623
15345,19.88,40.75,1079,1,414,533.3866766,1390.155131,0.776172368,12750,14160,7110,5040,38903.52825,46948.86641,146.7478717,24810,25,1,175,448,623
15454,19.88,40.75,1157,1,415,534.67505,1490.648272,0.776172369,12870,14580,7950,6180,38776.43542,47319.24852,146.7478717,24930,26,1,174,449,623
15345,19.88,40.75,1151,1,414,533.3866759,1482.918029,0.776172369,12750,14310,7530,5550,39136.72712,47319.24852,146.7478717,25350,26,1,178,448,623
26667,16.03,40.71,2279,1,741,954.684857,2936.203494,0.776172362,6420,31020,17910,11400,118577.1687,145794.3559,1729.360126,330,161,9,837,532,776
15609,20.17,40.69,1197,1,440,566.8843851,1542.183202,0.776172376,13530,15090,8130,8280,43232.61504,57567.66679,362.7378287,21900,32,3,212,447,615
15609,20.17,40.69,1197,1,440,566.8843905,1542.183217,0.776172368,13110,15210,8310,8760,43313.95987,57950.40673,362.7378287,21540,34,3,208,447,615
15609,20.17,40.69,1197,1,440,566.8843902,1542.183216,0.776172369,12840,14550,7920,7710,39991.7738,51353.84118,146.7478717,24120,29,1,186,447,615
15609,20.17,40.69,1197,1,440,566.8843867,1542.183207,0.776172374,13650,15270,8160,8400,44353.03691,58030.75948,362.7378287,21360,33,3,219,447,615
15626,19.67,40.67,1048,1,378,487.0052245,1350.215543,0.776172371,12540,14070,8280,6240,35859.42199,50625.21417,32371.38712,23370,32,4,151,453,627
20034,15.71,40.61,4756,1,1384,1783.109074,6127.50488,0.776172372,3900,33510,18990,10770,132829.5729,168308.2468,7009.652776,60,197,13,978,470,558
21208,15.61,40.6,4268,1,1309,1686.48107,5498.778616,0.776172364,4020,33360,18270,11160,136516.409,175599.9782,7363.560534,60,194,15,1003,485,651
15380,20.08,40.54,796,1,317,408.4144336,1025.545392,0.776172373,16950,13710,5280,5820,46721.08097,22755.43075,1810.060112,23940,20,8,324,448,620
19596,13.53,40.53,2149,1,1035,1333.466697,2768.71491,0.776172365,17190,27240,7380,870,137426.5181,31820.98045,2649.867568,14340,75,15,785,467,632
18612,15.47,40.45,4785,1,1194,1538.318103,6164.867775,0.776172365,3090,29790,21360,12690,106878.3945,174694.4328,5831.807232,240,211,11,795,449,485
18701,15.56,40.43,4534,1,1255,1616.908879,5841.485942,0.776172372,3180,31470,19920,12300,114931.059,161622.0096,6469.586828,120,207,12,849,447,484
15402,19.71,40.43,1328,1,535,689.2798889,1710.960173,0.776172363,16110,15210,5100,6090,59058.53988,27423.71291,1560.24569,20010,21,6,362,448,621
18548,15.46,40.41,4770,1,1177,1516.415744,6145.542139,0.776172369,2820,28650,21360,13890,107769.0909,174450.3063,5831.807232,270,215,11,758,449,485
27803,12.7,40.4,2225,1,562,724.065969,2866.631283,0.776172371,4650,25650,22080,13680,86803.24314,154157.4471,39878.9799,750,179,12,598,548,796
15481,19.64,40.38,624,1,303,390.3772018,803.9451285,0.776172375,15360,11700,3840,4710,44593.4712,17694.22701,1810.060112,24600,14,8,317,447,622
15481,19.64,40.38,624,1,303,390.3772051,803.9451352,0.776172369,16410,12750,4290,5010,45644.19177,17694.22701,1810.060112,24810,14,8,322,447,622
