Percent Unemployed,Vehicles per Household,Percent below poverty level,Median income,Household Density,Daytime Population Density,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Residential area,Commercial/Industrial area,Other area,Net Passengers
0,1.5,32.35,35926,788.6052614,1339.14101,6360,47790,71910,36030,11970,4283.69298,9662.35618,0,464
0,1.5,0,35000,1385.638741,2078.458112,0,570,10680,0,0,1708.096452,0,0,464
0,0,0,0,0,0,0,1650,90,0,0,0,0,0,464
0,2.5,0,50000,2380.458551,2380.458551,0,1200,2070,0,0,369.8575958,0,0,464
16.67,1.3,33.33,25000,1006.433695,4696.690576,0,0,5610,2100,0,841.6778243,0,0,465
0,1,33.33,28747,2170.486217,4775.069677,0,0,5640,330,0,1011.35947,0,0,464
0,0,0,44898,1421.516924,1066.137693,1590,660,11190,1170,0,0,0,0,464
0,1.5,12.5,35000,514.6679161,608.2439008,13410,24210,15780,1800,0,1402.824193,0,0,464
0,1.6,25.93,60354,131.5451272,563.7648307,240840,76170,72180,20910,3480,6181.03974,1571.171111,306.6561016,464
0,0,0,0,0,4877.050211,0,0,11730,75420,47640,0,28423.70201,0,464
12.5,1.1,37.5,26674,2698.419805,5097.015186,0,2970,4950,690,0,1053.210481,0,0,462
0,1,0,0,867.3682108,1734.736422,1110,900,1110,0,0,0,0,0,464
0,1.5,50,7500,1049.737505,4198.950019,0,0,1560,4140,1650,458.3809563,736.7047731,0,468
0,0,0,0,0,0,0,480,0,0,0,0,0,0,464
0,0,0,0,0,0,0,0,8310,17850,660,0,0,189.4220222,464
0,0,0,0,68.78262514,0,28290,9480,0,0,0,0,0,0,464
14.29,1.6,40,35000,1337.0644,2339.862699,0,9900,5130,390,0,1512.237005,0,0,464
0,0,0,0,0,0,10890,26880,1770,0,0,0,0,0,464
0,0,0,0,0,3530.224097,8910,6360,15720,48570,12870,0,9084.582968,0,469
0,1.5,5.71,86124,2215.162235,2049.025068,0,2880,43650,120,0,8287.266196,0,0,464
0,0,0,0,0,0,0,0,0,1320,0,0,0,0,464
0,1.3,16.67,25000,1119.273333,932.7277772,0,0,8910,5070,0,899.4174566,0,0,464
5.26,1.3,40,18798,1697.612542,1923.960881,0,1980,12030,6780,2040,3294.478378,1355.740125,0,464
0,1.7,0,85714,1717.596016,644.0985061,0,5640,6450,0,0,1035.564418,0,0,464
0,2,0,0,424.8363298,2124.181649,0,0,3900,2220,0,0,0,0,464
8.33,1.7,28.57,41302,2705.415588,3787.581823,0,0,7500,2040,0,1272.479888,0,0,464
0,1.5,0,85912,3019.850926,3019.850926,0,0,6900,840,0,1699.605629,0,0,465
0,1.7,0,66667,2681.584855,1340.792427,0,1140,6570,0,0,1290.281761,0,0,464
0,1.5,0,87500,1459.349883,1459.349883,0,3720,5070,0,0,901.0141724,0,0,463
0,0,0,0,0,0,0,30,5010,3420,420,0,0,0,464
0,1.5,9.09,86124,3780.651682,3240.558584,0,2460,4140,3000,0,2288.11764,0,0,461
0,0,0,0,0,0,0,0,390,780,0,0,0,0,464
0,0,0,0,0,47077.4052,0,0,0,1050,11250,0,2707.525248,0,356
12.5,1.2,28.57,18542,3576.304436,4853.55602,0,0,7110,2940,0,1839.96581,0,0,462
0,0,0,31872,3553.144351,28030.36099,0,0,0,2370,10770,0,2591.521924,0,485
19.05,0,59.46,10078,6165.932049,8173.444809,0,0,10260,7770,0,1542.640227,0,0,435
17.31,0,61.19,10169,16061.76428,27479.16299,0,900,6450,5910,0,2730.217287,0,0,464
0,0,0,0,0,0,0,1650,13860,4830,270,0,0,547.3254418,464
5.88,1.3,44.44,21552,4195.684968,8009.944029,0,0,30,6840,0,1214.741451,251.9613928,0,464
0,0,0,0,254.6410917,5092.821834,0,0,90,3390,6780,0,1960.117377,0,464
0,1.7,6.67,60354,2423.451997,2423.451997,0,0,8490,10290,390,2360.108634,2405.554129,0,455
4.88,1.6,27.78,35000,994.640792,1733.516809,7410,63840,19980,90,0,4942.654607,0,0,464
2.04,1.5,9.09,31001,1579.642787,2817.741188,0,40170,20370,0,0,5475.128366,0,0,464
