Percent unemployed,Vehicles per household,Median income,Houshold Density,Daytime population density,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Ridership
7.8,0,28993,684,1289,30.43,79774.03473,86860.55485,42026.16882,468000,555300,595800,267300,124200,209,14,313,932,1025,0
7.8,0,28993,684,1289,30.43,79774.03473,86860.55485,42026.16882,468000,555300,595800,267300,124200,86,4,1048,640,866,0
6.1,1.4,27461,1426,3810,30.37,171308.981,142993.8344,30917.09812,17100,139500,759600,777600,313200,190,17,318,928,1030,0
6.5,1.4,28539,1029,2861,30.36,89321.78058,192610.5597,22274.76823,0,307800,532800,759600,409500,98,21,839,832,973,0
6,1.4,26662,1821,5203,30.36,240074.2611,152811.2158,6866.238368,17100,39600,899100,818100,232200,114,26,281,831,954,0
6.5,1.2,29747,1407,13084,30.36,82059.92811,374352.925,34237.03016,30600,53100,320400,792000,819900,133,25,470,860,968,1
7.2,1.3,26268,1033,4598,30.34,189090.2871,127559.9083,3734.627636,56700,360900,812700,592200,182700,138,25,449,859,968,0
6,1.4,26733,1808,5243,30.33,242891.6217,142629.6133,6866.238368,17100,39600,904500,815400,230400,190,29,574,833,977,0
5.5,1.4,26294,1519,3321,30.32,191304.9159,143670.5159,10158.99787,6300,125100,950400,673200,260100,175,34,812,824,970,0
6,1.4,30162,1108,2206,30.28,116562.4221,113307.6684,13049.46313,126000,490500,830700,437400,127800,201,13,433,936,1025,0
6,1.4,30162,1108,2206,30.28,116562.4221,113307.6684,13049.46313,126000,490500,830700,437400,127800,98,4,673,823,1045,0
6,1.4,30162,1108,2206,30.28,116562.4221,113307.6684,13049.46313,126000,490500,830700,437400,127800,100,3,687,823,1045,0
6,1.4,30162,1108,2206,30.28,116562.4221,113307.6684,13049.46313,126000,490500,830700,437400,127800,58,11,923,533,744,0
6,1.4,30162,1108,2206,30.28,116562.4221,113307.6684,13049.46313,126000,490500,830700,437400,127800,82,3,1080,637,863,1
6,1.4,30162,1108,2206,30.28,116562.4221,113307.6684,13049.46313,126000,490500,830700,437400,127800,58,10,922,534,748,0
18.7,1,23511,655,2181,30.27,86190.1619,133625.3354,44752.48181,127800,299700,637200,432000,515700,192,15,342,934,1028,0
7.7,1.6,29041,915,2455,30.25,92722.40745,104348.5421,44164.58551,65700,212400,681300,346500,225900,199,13,338,937,1026,0
7.7,1.6,29084,920,2462,30.22,91233.77352,105628.3333,44164.58551,57600,202500,683100,362700,233100,209,14,335,937,1026,0
18.9,1,23354,644,2164,30.2,84308.16335,133659.3748,44752.48181,130500,299700,621900,432000,522000,206,14,359,934,1028,0
18.9,1,23354,644,2164,30.2,84308.16335,133659.3748,44752.48181,130500,299700,621900,432000,522000,202,15,443,932,1024,0
12,1,26958,1519,6274,30.14,114076.0478,113092.3348,3818.341237,459900,558000,612000,308700,72900,209,15,443,932,1024,0
12,1,26958,1519,6274,30.14,114076.0478,113092.3348,3818.341237,459900,558000,612000,308700,72900,39,8,940,523,639,0
6,1.4,28151,1206,3715,30.13,150931.5642,138411.797,32825.49727,15300,191700,729900,738900,339300,197,17,385,857,1000,0
2.3,1.5,36695,437,953,30.12,10570.43734,43943.79165,540.1354966,1095300,347400,280800,172800,109800,42,8,927,522,640,0
2.3,1.5,36695,437,953,30.12,10570.43734,43943.79165,540.1354966,1094400,347400,280800,172800,109800,74,2,858,625,767,0
7.7,1.6,29164,929,2486,30.11,91302.72292,101561.8713,44164.58551,60300,206100,668700,340200,221400,132,33,903,823,967,0
7.7,1.6,29164,929,2486,30.11,91302.72292,101561.8713,44164.58551,60300,206100,668700,340200,221400,74,2,870,624,767,0
17,0,21998,940,1759,30.09,113424.6892,51837.61579,61459.04094,97200,367200,846900,416700,276300,108,18,465,867,968,0
17,0,21998,940,1759,30.09,113424.6892,51837.61579,61459.04094,97200,367200,846900,416700,276300,90,3,1091,639,863,0
17,0,21998,940,1759,30.09,113424.6892,51837.61579,61459.04094,97200,367200,846900,416700,276300,59,8,371,512,620,0
17,0,21998,940,1759,30.09,113424.6892,51837.61579,61459.04094,97200,367200,846900,416700,276300,209,15,440,933,1035,0
4.4,1.5,25750,571,2102,30.08,62968.29557,81152.87827,13570.83442,255600,761400,572400,307800,108000,80,2,104,720,1019,0
6.5,1.3,28886,909,1938,30.06,117044.4425,126449.6751,13138.5224,62100,477000,858600,451800,162000,167,20,306,785,986,0
7.1,1.3,28817,946,1919,30.04,116199.1702,117644.9143,41823.5381,27900,475200,857700,448200,201600,167,33,887,832,973,0
7.1,1.3,28817,946,1919,30.04,116199.1702,117644.9143,41823.5381,27900,475200,857700,448200,201600,195,17,383,864,1011,0
12,1,26957,1531,6295,30.03,114988.5743,113065.604,4115.678495,460800,556200,618300,306900,72900,171,33,810,833,973,0
16.9,0,21686,1043,1908,30.03,114349.0032,49221.70149,61459.04094,88200,360000,864900,420300,272700,81,2,141,717,1017,0
16.9,0,21686,1043,1908,30.03,114151.3612,49221.70149,61459.04094,88200,360000,864900,419400,272700,17,9,556,527,675,0
16.9,0,21686,1043,1908,30.03,114349.0032,49221.70149,61459.04094,88200,360000,864900,420300,272700,161,20,306,795,971,0
6.7,1.4,28947,1341,9751,29.99,101630.6928,347631.5563,33867.92843,26100,68400,426600,819900,672300,162,21,306,795,971,0
6.7,1.4,28947,1341,9751,29.99,101630.6928,347631.5563,33867.92843,26100,68400,426600,819900,672300,91,3,1093,640,857,1
6.3,1.2,30074,1461,21183,29.98,81863.63112,346639.3188,16739.71239,31500,55800,328500,826200,770400,78,2,155,712,1026,0
6.3,1.2,30074,1461,21183,29.98,81863.63112,346639.3188,16739.71239,31500,55800,328500,826200,770400,84,5,147,838,983,1
6.2,1.4,30387,1137,2084,29.96,123108.3705,92875.84381,4949.897345,192600,530100,811800,387000,90900,88,18,478,887,970,0
5.9,1.4,29031,809,3238,29.95,97637.49017,123214.1487,33019.16825,0,342900,584100,710100,377100,54,11,965,533,695,0
1.2,1.6,40016,279,1007,29.95,44830.54247,61216.43386,551.9688873,552600,585900,516600,282600,69300,55,11,955,533,693,0
1.2,1.6,40016,279,1007,29.95,44830.54247,61216.43386,551.9688873,552600,585900,516600,282600,69300,87,3,1001,629,797,0
7,1.3,28901,948,1954,29.92,116855.4869,114566.4319,13133.34409,22500,471600,872100,451800,194400,87,3,1007,629,797,0
12.2,1,27020,1474,6233,29.91,111381.9128,123624.0188,3028.065259,463500,551700,600300,315900,82800,94,19,485,886,969,0
1.4,1.6,26196,443,2244,29.87,45808.20322,103882.5496,12371.97098,332100,665100,478800,348300,183600,89,4,1067,640,848,0
1.4,1.6,26196,443,2244,29.87,45808.20322,103882.5496,12371.97098,332100,665100,478800,348300,183600,97,3,733,802,1010,0
1.4,1.6,26196,443,2244,29.87,45808.20322,103882.5496,12371.97098,332100,665100,478800,348300,183600,90,3,1093,640,854,0
1.4,1.6,26196,443,2244,29.87,45808.20322,103882.5496,12371.97098,332100,665100,478800,348300,183600,104,12,230,638,893,0
7.2,1.3,26439,1052,4178,29.85,187282.5526,121965.1198,3874.638184,56700,327600,797400,640800,184500,176,27,467,850,982,0
6.4,1.4,30599,1140,1987,29.84,124193.5952,65774.06185,4665.361088,318600,563400,753300,314100,65700,124,19,438,758,897,0
7.7,0,28263,803,1628,29.83,94020.94449,84202.00297,43409.37148,447300,544500,601200,297000,122400,85,2,960,630,783,0
7.7,0,28263,803,1628,29.83,94475.16367,84202.00297,43409.37148,443700,544500,604800,296100,123300,18,6,617,524,665,0
7.7,0,28263,803,1628,29.83,94020.94449,84202.00297,43409.37148,447300,544500,601200,297000,122400,99,0,751,795,1016,0
7.7,0,28263,803,1628,29.83,94475.16367,84202.00297,43409.37148,443700,544500,604800,296100,123300,87,3,1052,642,844,0
7.7,0,28263,803,1628,29.83,94020.94449,84202.00297,43409.37148,447300,544500,601200,297000,122400,98,0,749,794,1007,0
6.4,1.4,30657,1128,1938,29.8,123122.5523,63373.61506,4660.182781,344700,566100,733500,305100,62100,18,2,454,541,742,0
6.4,1.4,30657,1128,1938,29.8,123122.5523,63373.61506,4660.182781,344700,566100,733500,305100,62100,95,0,769,795,1012,0
12.2,1,26996,1457,6211,29.79,109923.889,123953.9886,3028.065259,464400,550800,589500,316800,82800,95,0,769,795,1012,0
1.1,1.6,39808,284,1031,29.79,40474.88078,60122.11587,551.9688873,621900,557100,485100,279000,69300,18,6,612,525,665,0
1.1,1.6,39808,284,1031,29.79,40474.88078,60122.11587,551.9688873,621900,557100,485100,279000,69300,119,8,110,775,950,0
12.2,1,26996,1457,6211,29.79,109923.889,123953.9886,3028.065259,464400,550800,589500,316800,82800,98,1,734,782,994,0
5.5,1.4,26564,1568,3397,29.75,194232.6106,137698.0985,10361.80329,8100,130500,966600,652500,252000,96,1,725,785,996,0
17.1,1.1,22069,919,1763,29.73,109736.0543,88338.87523,62769.81919,111600,357300,811800,431100,300600,75,7,660,518,627,0
17.1,1.1,22069,919,1763,29.73,109736.0543,88338.87523,62769.81919,111600,357300,811800,431100,300600,18,4,663,524,656,0
17.1,1.1,22069,919,1763,29.73,109736.0543,88338.87523,62769.81919,111600,357300,811800,431100,300600,20,2,577,535,708,0
6.2,1.1,31087,1556,30853,29.66,78808.04954,409711.1709,59211.99724,32400,45900,231300,718200,980100,6,2,585,888,1040,0
6,1.4,28398,1091,3566,29.64,127660.4956,135093.101,30389.69246,7200,245700,689400,715500,353700,61,6,773,520,635,0
7.6,1.6,29207,931,2508,29.64,87419.62565,99080.23126,44164.58551,50400,194400,630000,312300,193500,56,2,710,747,989,0
7.6,1.6,29207,931,2508,29.64,87419.62565,99080.23126,44164.58551,50400,194400,630000,312300,193500,50,7,892,524,661,0
16.9,1.1,22298,916,1735,29.59,109068.792,102790.3736,62924.04587,116100,358200,795600,434700,310500,22,2,627,536,725,0
16.9,1.1,22298,916,1735,29.59,109068.792,102790.3736,62924.04587,116100,358200,795600,434700,310500,16,0,453,725,881,0
16.9,1.1,22298,916,1735,29.59,109068.792,102790.3736,62924.04587,116100,358200,795600,434700,310500,46,7,881,524,662,0
7.1,1.3,26730,1178,4304,29.58,193180.2032,124143.9842,3566.563647,39600,264600,825300,680400,196200,40,5,469,717,954,0
7.3,1.3,26662,955,4452,29.54,179043.3774,122014.7294,3376.841684,82800,456300,783900,527400,156600,87,2,707,733,961,0
6.2,1.1,30822,1324,29035,29.52,72852.60633,415480.9475,54502.72781,36900,56700,245700,755100,914400,88,2,697,733,961,0
6.2,1.1,30822,1324,29114,29.52,71890.55791,422722.9216,54502.72781,35100,43200,233100,751500,952200,49,5,656,742,979,0
6.2,1.1,30822,1324,29035,29.52,72852.60633,415806.2256,54502.72781,37800,57600,245700,756000,909000,50,5,671,742,979,0
6.2,1.1,30822,1324,29035,29.52,72852.60633,415480.9475,54502.72781,36900,56700,245700,755100,914400,134,14,431,815,1004,0
6.2,1.1,30822,1324,29035,29.52,72852.60633,415806.2256,54502.72781,37800,57600,245700,756000,909000,111,5,24,991,1156,0
6.2,1.1,30822,1324,29035,29.52,72852.60633,415480.9475,54502.72781,36900,56700,245700,755100,914400,47,5,515,729,965,0
7.4,1.3,26656,968,4387,29.5,176681.991,102227.5474,3054.497621,101700,493200,785700,482400,149400,44,6,488,725,960,0
7.4,1.3,26656,968,4387,29.5,176681.991,102227.5474,3054.497621,101700,493200,785700,482400,149400,112,14,300,831,964,0
6.4,1.4,30605,1167,2115,29.49,124316.913,83755.38188,4821.661307,208800,543600,796500,376200,82800,35,13,402,583,772,0
6.4,1.4,30605,1167,2115,29.49,124316.913,83755.38188,4821.661307,208800,543600,796500,376200,82800,47,7,878,524,662,0
7.1,1.3,26464,896,4338,29.46,177116.5826,115263.6463,3054.497621,99900,491400,788400,477000,153900,83,3,703,734,960,0
5.6,1.4,29057,928,3322,29.45,109864.4336,132132.9877,32210.36181,0,292500,649800,701100,367200,59,2,716,754,994,0
5.5,1.4,27495,1895,3951,29.44,250029.0689,149108.6701,17690.22978,17100,56700,945000,740700,243900,67,3,705,736,964,0
6.2,1.1,30918,1413,21576,29.44,77112.31578,342540.9445,42121.87951,151200,90900,285300,756000,728100,155,12,76,470,608,0
6.2,1.1,30918,1413,21576,29.44,77112.31578,340839.473,34290.70695,162000,91800,288900,750600,720000,115,20,534,871,988,0
6.3,1.1,30712,1233,17889,29.43,67836.31159,317100.3406,24958.96226,160200,97200,309600,776700,667800,123,13,432,815,1008,0
6.2,1.1,30994,1414,28070,29.39,76809.70011,374975.0197,55027.01526,67500,65700,263700,761400,856800,5,2,611,875,1035,0
6.9,1.3,29304,944,1991,29.39,118137.6001,116775.4085,13138.5224,50400,479700,855000,447300,172800,66,3,715,737,966,1
6.9,1.3,29304,944,1991,29.39,118137.6001,116775.4085,13138.5224,50400,479700,855000,447300,172800,107,15,128,470,607,0
7.3,1.2,26329,809,8834,29.39,150373.3102,174040.0822,2919.864698,117900,508500,699300,494100,189000,86,10,128,470,607,0
7.3,1.2,26329,809,8834,29.39,150373.3102,174040.0822,2919.864698,117900,508500,699300,494100,189000,80,4,712,734,960,0
6.2,1.1,30994,1414,28070,29.39,76809.70011,374975.0197,55027.01526,67500,65700,263700,761400,856800,161,15,251,930,1062,0
1.1,1.6,39435,293,1043,29.38,52623.68898,59767.79016,551.9688873,450900,648000,549000,291600,69300,162,15,247,930,1062,0
8,1.3,29219,806,1482,29.33,97483.28771,52134.49635,4445.946812,630900,598500,539100,197100,48600,81,3,705,733,960,0
7.2,1.2,26342,753,8764,29.27,149026.9825,174152.2834,2919.864698,115200,489600,699300,504900,198900,108,4,12,942,1062,0
5.9,1.1,31680,1428,30133,29.2,72809.9374,406496.6316,76702.59072,20700,37800,264600,710100,980100,37,13,382,548,769,0
7.4,0,28623,853,1703,29.16,79542.80117,86174.78165,42879.00596,477900,538200,573300,288000,136800,69,4,719,736,964,0
7.4,0,28623,853,1703,29.16,79542.80117,86174.78165,42879.00596,477900,538200,573300,288000,136800,30,12,424,549,767,0
7.4,0,28623,853,1703,29.16,79542.80117,86174.78165,42879.00596,477900,538200,573300,288000,136800,6,2,670,879,1033,0
6.6,1.4,31083,1139,1937,29.15,117793.5539,56247.64611,3530.152981,466200,573300,681300,243900,49500,18,2,429,592,769,0
7.3,1.3,26808,933,4339,29.15,176371.1963,108736.9703,3075.766532,98100,489600,783000,493200,148500,144,17,127,470,608,0
6.6,1.4,31083,1139,1937,29.15,117730.1201,56247.64611,3530.152981,481500,567900,675900,234000,45000,116,7,46,469,608,0
11.9,1,27061,1507,7419,29.1,117995.7705,134369.3592,2675.495348,401400,495900,647100,355500,112500,86,5,75,775,950,0
11.9,1,27061,1507,7419,29.1,117995.7705,134369.3592,2675.495348,401400,495900,647100,355500,112500,40,0,461,690,950,0
6.6,1.4,31368,1109,1862,29.09,116471.5714,55677.33853,3530.152981,486900,576900,669600,230400,45900,8,2,717,872,1032,0
6.6,1.4,31368,1109,1862,29.09,116519.3953,55677.33853,3530.152981,493200,582300,663300,229500,46800,144,4,127,831,960,0
6.6,1.4,31368,1109,1862,29.09,116519.3953,55677.33853,3530.152981,493200,582300,663300,229500,46800,106,7,114,831,961,0
6.6,1.4,31368,1109,1862,29.09,116471.5714,55677.33853,3530.152981,486900,576900,669600,230400,45900,7,2,715,867,1030,0
7.4,1.4,29363,966,1713,29.08,118808.0617,65931.1427,4698.945717,414900,601200,696600,233100,60300,119,6,112,829,960,0
7.4,1.4,29363,966,1713,29.08,118808.0617,65931.1427,4698.945717,414900,601200,696600,233100,60300,67,5,423,811,1005,0
7.4,1.4,29363,966,1726,29.08,118049.544,66303.32759,4698.945717,423000,606600,691200,231300,60300,28,5,522,661,921,0
1.3,1.6,27156,375,2063,29.05,37740.29545,100836.0584,11674.99478,475200,592200,423900,329400,192600,112,13,301,834,975,0
4.8,1,32647,1099,21049,29.05,40207.27747,218043.2473,63932.84611,452700,121500,297900,558900,581400,19,2,530,542,758,0
7.4,0,28706,831,1622,29.02,79110.8837,86174.78165,42879.00596,476100,539100,568800,287100,135000,26,5,524,658,917,0
5.4,1.4,27020,1613,3307,28.94,202437.7583,158533.1025,9590.896623,10800,133200,984600,648000,234000,15,4,505,662,925,0
6.8,1.4,31022,1157,1968,28.88,120244.1035,62766.51956,4773.807915,449100,579600,703800,234000,42300,16,5,507,662,925,0
6.8,1.4,31022,1157,1968,28.88,120244.1035,62766.51956,4773.807915,449100,579600,703800,234000,42300,32,5,499,667,933,0
6.8,1.4,31012,1148,1954,28.87,120290.5899,62766.51956,4773.807915,450900,585000,702900,232200,42300,146,4,136,825,956,0
7.3,1.6,34032,229,1950,28.86,19541.04058,222305.5775,18138.70854,160200,215100,393300,632700,607500,35,5,483,671,942,0
7.3,1.6,34032,230,1950,28.86,17764.31216,219925.793,18138.70854,171900,216900,383400,625500,612900,16,4,690,540,757,0
6.4,1.3,29984,1234,15804,28.82,75413.21378,301598.0825,21011.04292,145800,105300,351900,775800,626400,19,4,674,536,754,0
5.3,1.4,28131,1811,3935,28.79,238109.3536,135942.4607,20776.33533,17100,86400,918000,732600,256500,28,5,512,665,930,0
7.3,1.4,28029,889,22296,28.79,90480.54004,263396.008,7589.22662,155700,150300,576000,784800,339300,67,5,325,817,1006,0
7.1,1.3,26665,833,5113,28.78,156704.4911,172675.5778,2919.864698,109800,491400,729900,495900,180900,100,4,265,824,968,0
6.4,1.5,32317,843,1448,28.76,97024.76375,33885.03254,3391.117503,624600,727200,479700,158400,22500,102,5,286,824,968,0
6.4,1.5,32317,843,1448,28.76,97024.76375,33885.03254,3391.117503,624600,727200,479700,158400,22500,8,3,785,852,1022,0
6.4,1.5,32317,843,1448,28.76,97024.76375,33885.03254,3391.117503,624600,727200,479700,158400,22500,8,3,789,852,1022,0
6.8,1.3,26601,816,4140,28.75,166876.3057,153315.6724,3054.497621,110700,501300,760500,475200,167400,61,5,262,816,1006,0
6.8,1.3,26601,816,4140,28.75,168652.2726,152987.1949,3054.497621,107100,490500,762300,479700,170100,92,7,252,824,1014,0
6.8,1.3,26601,816,4140,28.75,166876.3057,153315.6724,3054.497621,110700,501300,760500,475200,167400,68,6,318,823,1014,0
11.8,1,27219,1505,7453,28.74,121044.9945,136943.9981,2675.495348,387000,485100,663300,363600,114300,128,7,139,822,1011,0
6.1,1.5,33485,807,1136,28.7,94507.14098,19252.51615,2261.684399,655200,852300,411300,79200,9000,70,5,394,828,1018,0
6.1,1.5,33485,807,1136,28.7,94507.14098,19252.51615,2261.684399,655200,852300,411300,79200,9000,16,3,681,537,755,0
6.1,1.5,33485,807,1136,28.7,94507.14098,19252.51615,2261.684399,655200,852300,411300,79200,9000,16,3,692,537,755,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,17,3,701,538,755,0
5.1,1.1,32123,1280,25044,28.66,49385.25722,263221.2808,64940.29291,315900,96300,293400,642600,662400,97,5,149,850,977,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,107,4,12,794,950,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,55,14,949,985,1100,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,55,13,932,982,1103,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,66,13,637,975,1054,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,82,4,214,794,936,0
5.1,1.1,32123,1280,24393,28.66,49870.03889,263221.2808,64940.29291,349200,97200,288900,632700,645300,67,13,657,955,1044,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,108,3,4,850,950,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,55,7,1128,1034,1142,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,51,5,1025,925,1097,0
5.1,1.1,32123,1280,25045,28.66,50140.58952,267340.1159,64940.29291,302400,96300,290700,650700,673200,41,12,1079,1067,1141,0
7.8,1.6,29122,877,2206,28.59,85796.5475,68406.97508,15074.19494,66600,192600,579600,270900,175500,49,6,987,869,1031,0
7.8,1.6,29122,877,2206,28.59,85796.5475,68406.97508,15074.19494,66600,192600,579600,270900,175500,51,8,1166,1077,1160,0
5.8,1.1,32227,1282,25880,28.59,50773.05577,274998.7214,64819.26406,320400,97200,274500,657000,666900,57,7,1083,1010,1133,0
5.8,1.1,32227,1282,22189,28.59,50495.78755,240804.5863,64819.26406,353700,82800,251100,654300,661500,53,5,1020,928,1105,0
5.8,1.1,32227,1282,22189,28.59,50495.78755,240804.5863,64819.26406,353700,82800,251100,654300,661500,54,5,995,956,1102,0
5.8,1.1,32227,1282,25880,28.59,50773.05577,274998.7214,64819.26406,320400,97200,274500,657000,666900,47,6,1001,862,1031,0
5.8,1.1,32227,1282,22189,28.59,50495.78755,240804.5863,64819.26406,353700,82800,251100,654300,661500,56,7,1079,1016,1133,0
5.8,1.1,32227,1282,25880,28.59,50773.05577,274998.7214,64819.26406,320400,97200,274500,657000,666900,54,7,981,994,1134,0
5.8,1.1,32227,1282,22189,28.59,50495.78755,240804.5863,64819.26406,353700,82800,251100,654300,661500,54,7,989,994,1134,0
19,1,25000,24,1051,28.57,7110.149983,103125.7427,79921.43395,534600,260100,345600,424800,446400,40,8,1147,1071,1156,0
19,1,25000,24,1051,28.57,7110.149983,103125.7427,79921.43395,534600,260100,345600,424800,446400,140,4,333,786,966,0
4.8,1,32581,1154,21508,28.51,48350.76043,243242.4758,64940.29291,355500,108900,301500,604800,633600,141,4,336,786,966,0
4.8,1,32581,1154,21508,28.51,48350.76043,243242.4758,64940.29291,355500,108900,301500,604800,633600,49,6,1028,858,1017,0
8.1,1.4,29614,653,1144,28.48,85763.40179,32410.35648,3111.047036,774900,679500,410400,131400,17100,142,4,308,786,962,0
8.1,1.4,29614,653,1144,28.48,85763.40179,32410.35648,3111.047036,774900,679500,410400,131400,17100,50,4,1050,867,1034,0
6.8,1.5,31950,920,1556,28.47,98943.49719,35825.78549,2666.415119,648000,678600,483300,171000,25200,141,4,264,789,948,0
6.8,1.5,31950,920,1556,28.47,98943.49719,35825.78549,2666.415119,648000,678600,483300,171000,25200,142,4,282,789,948,0
6.8,1.5,31950,920,1556,28.47,98943.49719,35825.78549,2666.415119,648000,678600,483300,171000,25200,18,3,822,797,929,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,111,6,100,761,911,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,153,3,189,790,935,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,123,4,367,779,955,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,87,0,427,775,951,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,88,0,425,775,951,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,130,4,358,778,954,1
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,40,4,875,825,980,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,38,4,889,803,940,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,102,3,417,773,948,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,155,3,177,786,928,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,92,3,424,770,943,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,109,4,76,754,896,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,18,3,814,788,877,1
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,79,0,371,762,934,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,78,0,373,762,934,1
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,105,4,287,744,903,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,101,2,273,739,895,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,73,0,299,757,922,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,90,0,262,730,893,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,72,0,281,725,889,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,99,2,53,754,883,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,98,2,53,754,883,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,53,2,246,755,889,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,84,2,148,700,882,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,100,5,0,0,0,1
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,84,1,0,0,0,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,70,0,0,0,0,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,115,0,0,0,0,1
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,118,0,0,0,0,0
5,1.1,32232,1268,22326,28.46,47281.46265,257953.9221,64940.29291,378000,98100,285300,621000,629100,111,0,0,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,125,6,0,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,34,0,0,0,0,0
4.8,1.4,28571,1672,3488,28.43,211510.467,136554.2844,20660.90628,17100,158400,857700,715500,262800,51,3,0,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,84,5,2,475,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,138,7,0,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,55,1,0,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,111,4,1,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,47,0,0,0,0,0
5.8,1.1,32117,1310,20452,28.43,53104.53072,248749.6774,64819.26406,375300,65700,230400,664200,669600,89,1,0,0,0,0
