Percent unemployed,Vehicles per household,Median income,Houshold Density,Daytime population density,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Ridership
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,184,12,790,401,459,1
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,176,22,58,438,472,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,178,7,639,541,790,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,183,20,45,455,497,0
15.1,1.1,17176,909,1710,43.66,70241.97897,102547.03,38303.38492,108900,485100,817200,446400,145800,103,5,263,432,582,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,104,24,346,432,584,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,153,24,64,447,491,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,179,9,634,543,791,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,204,11,870,420,471,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,99,6,335,434,586,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,95,5,209,434,585,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,112,17,104,297,351,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,158,16,163,371,408,0
8.3,0,15599,1779,29185,43.65,78322.94249,437681.3581,58934.26522,7200,21600,239400,599400,1141200,155,16,162,371,408,0
15.3,1.1,17195,924,1823,43.63,75021.04519,103414.9066,38303.38492,136800,501300,797400,433800,144000,200,15,496,458,526,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,43,4,194,441,604,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,90,5,191,440,596,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,169,6,706,537,784,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,194,18,516,458,529,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,179,12,855,534,774,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,90,58,328,454,656,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,39,2,211,444,607,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,169,14,987,539,777,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,170,10,1035,529,760,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,178,9,755,537,783,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,176,11,877,533,771,0
8.3,0,15637,1766,28354,43.58,69445.54649,452820.1991,50595.15961,7200,20700,242100,574200,1167300,28,1,182,449,623,0
15.8,1.1,17273,990,1870,43.54,81017.12958,96654.97188,38741.64368,88200,486000,846900,436500,152100,25,1,175,448,623,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,26,1,174,449,623,1
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,195,16,977,505,700,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,32,3,212,447,615,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,34,3,208,447,615,1
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,29,1,186,447,615,1
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,168,11,1075,525,750,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,171,11,1057,525,750,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,195,13,973,470,558,1
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,166,13,1037,532,764,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,192,15,998,485,651,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,153,14,1091,532,762,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,170,14,966,541,781,0
8.3,0,15637,1767,28374,43.52,65673.04828,454641.0228,50595.15961,7200,20700,239400,574200,1166400,74,15,781,467,632,0
8.4,0,15633,1608,28576,43.48,63021.29556,410040.0815,77583.59767,8100,47700,289800,622800,1043100,172,13,1012,519,736,0
8.4,0,15633,1608,28576,43.48,63021.29556,410040.0815,77583.59767,8100,47700,289800,622800,1043100,179,13,1007,514,722,0
0.9,0.7,13511,305,2385,43.45,21500.24358,204094.2574,7144.084589,86400,122400,559800,624600,619200,181,14,908,536,775,0
16.7,1.1,17433,998,1926,43.38,83347.40964,108539.8875,36983.24669,68400,466200,856800,459000,162000,209,11,793,449,485,0
18.1,1.1,17670,968,1850,42.98,77861.61652,117068.0578,34089.87609,169200,449100,828000,413100,155700,205,12,846,447,484,0
7.8,0,16349,1801,28990,42.96,61435.0793,449135.0552,50766.04996,7200,20700,225900,609300,1150200,21,6,362,448,621,0
18,1.1,17644,977,1867,42.94,81341.41644,110629.7762,34089.87609,87300,468900,859500,444600,155700,213,11,756,449,485,0
18,1.1,17644,977,1867,42.94,80192.55725,110629.7762,34089.87609,87300,471600,856800,442800,155700,178,11,597,548,796,0
18.9,1.1,17886,860,1604,42.8,71967.05876,115661.5253,30784.85551,293400,400500,781200,386100,146700,160,9,868,532,774,1
19,1,17910,893,1613,42.68,67023.45208,114195.4894,24523.14812,379800,377100,756000,369000,134100,167,11,1071,522,741,0
19.1,1,17874,891,1638,42.63,69552.83548,117106.5631,23912.89862,317700,321300,795600,394200,182700,179,14,938,538,777,0
1,1.4,17071,244,2185,42.56,24091.26423,144506.9735,26423.97476,200700,306900,462600,576000,462600,14,8,317,447,622,0
1,1.4,17071,244,2185,42.56,24091.26423,144506.9735,26423.97476,200700,306900,462600,576000,462600,14,8,322,447,622,0
1,1.4,17071,244,2185,42.56,23592.2595,144506.9735,26423.97476,212400,312300,454500,570600,460800,153,10,768,414,466,0
