Median Income,Household Density,Daytime Population Density,Percent Unemployed,Vehicles per Household,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Net Passengers
19065,476.1757533,2459,18.8,0,30.97,50900.77231,74755.50255,51796.58309,42300,288900,641700,434700,617400,78
24918,1835.249696,3395.2,15.6,1.1,32.12,113880.9333,17450.55269,2051.527153,38700,208800,659700,172800,22500,94
0,11.24192464,9449.4,0,0,0,4653.323716,62342.78416,0,0,4500,39600,63900,122400,317
57044,2883.920931,7246.7,1.7,1.7,16.3,21926.67576,32914.50387,1005.755593,0,0,31500,85500,103500,70
0,0,2392.6,0,0,0,0,50780.25595,10318.2033,0,900,18000,102600,183600,47
60675,157.994304,1627.2,0,1.7,16.67,2873.334455,6959.559911,290.1731875,1800,5400,58500,63000,34200,22
29226,83.44385472,6008.3,0,0.9,25,0,6337.932182,0,90900,1800,18000,47700,27000,30
0,47.01895367,44319.2,0,0,0,1114.207821,8223.855505,11538.26084,0,0,0,900,54900,245
7500,184.7517883,92765,0,0.8,25,7885.682606,17099.97841,0,0,0,0,5400,49500,851
33199,3586.670292,60759.9,4.2,0,0,0,30341.74672,4669.456626,0,0,0,16200,68400,793
0,0,116330.7,0,0,0,0,28926.52011,6282.098913,4500,0,0,20700,74700,101
27785,1831.198358,29555.2,6.1,1.2,31.96,5432.25626,24416.8823,2195.009959,0,0,3600,37800,99000,45
33036,3648.767118,47765.7,4.4,0.9,30.93,1452.069279,34167.87297,8420.032395,0,0,4500,36000,152100,198
32502,912.8057027,15433.5,3.9,0.9,31.19,1409.253068,54876.81876,4431.537405,900,0,6300,67500,149400,1
63837,1956.299143,2415.8,2.5,1.7,8.03,168220.1133,39378.47195,8123.417997,9900,713700,658800,153900,45000,77
120883,327.7503172,641.4,0,2.2,2.4,96979.30424,10460.03083,639.9544617,767700,1240200,338400,36000,8100,4
81261,894.1060693,1317.4,0.2,1.5,4.65,116238.9736,21976.90479,523.2876709,339300,363600,516600,131400,14400,6
84385,857.6007448,5562.7,0,1.5,4.71,4156.238904,9662.800582,4066.070537,117900,24300,46800,67500,24300,67
45873,1190.76019,6013.8,2,1.5,14.29,15686.81446,70802.07643,4253.094392,133200,108900,215100,229500,141300,56
47485,825.2564985,1579.4,4,1.6,13.02,76495.14601,47338.59652,809.2255884,629100,878400,467100,230400,87300,0
35430,1632.352257,15287.6,6.4,1.9,24.22,16437.21816,41120.11213,0,2700,16200,125100,110700,29700,124
24352,3059.571834,16194.4,6.6,1.3,33.19,37282.54791,20510.37247,299.8018463,0,900,53100,161100,65700,19
0,14.44534171,997.1,0,0,0,0,11891.32896,757.4021061,900,3600,64800,66600,41400,2
0,0,1271.7,0,0,0,0,11135.53672,0,1800,1800,21600,41400,23400,0
0,0,2398.2,0,0,0,2505.718218,11204.95639,121.0288512,209700,23400,80100,72000,27900,0
0,0,18554.2,0,0,0,0,64898.60435,0,18900,91800,119700,119700,81900,13
31872,344.5838653,8054.2,0,0.9,28.57,1504.677354,7019.93418,4515.662053,0,8100,21600,40500,33300,187
33106,2339.801855,54104,3.8,0.9,30.39,694.8546726,8931.911195,12329.95215,0,0,12600,33300,45000,93
0,0,25974.6,0,0,0,2550.686761,6739.259442,10326.20417,0,0,2700,25200,34200,385
24439,227.5983858,7227.3,6.8,1.3,34.78,8274.915939,149836.2704,21106.64748,0,14400,124200,245700,494100,263
29581,816.2149085,1943.2,10.7,1.1,46.12,63059.73645,38323.01043,3272.801988,357300,523800,440100,150300,65700,1
30750,1606.810923,3240.6,11.9,1,24.39,46107.82296,32686.09738,392.9652651,321300,358200,234000,102600,27000,119
14759,1388.909226,17057.8,16.2,0.8,54.24,61691.02271,104291.7081,2688.395939,7200,119700,459900,248400,78300,24
26523,1329.91247,14078.5,3,1.3,15.11,43631.51155,38821.49219,544.7057196,0,11700,208800,196200,78300,101
24829,1916.681,5750.4,6.6,1.3,33.5,25879.59403,37133.12157,811.1234087,0,1800,90000,181800,74700,52
56755,1146.589547,5959.4,1.7,1.7,16.24,15589.5053,37291.98934,71.43492892,1800,2700,45000,120600,160200,87
32906,2764.681275,7334.8,4.7,0.9,30.92,12269.32849,13097.45181,6338.487491,104400,16200,61200,142200,40500,366
31424,351.293636,407,8.2,1.6,20.27,10794.38913,5065.553962,2926.047569,378900,51300,95400,67500,14400,10
32455,1568.651312,14619,5.6,1.2,24.24,1379.982978,2409.530443,0,2700,900,2700,40500,8100,67
30618,1502.315948,10477.8,7.5,1.5,19.75,5569.711036,19337.82052,0,0,1800,43200,81900,25200,15
31453,1687.806858,13757.1,7,1.1,28.04,1899.520156,29942.30477,4565.09115,0,0,2700,69300,65700,105
35000,536.2376212,125524.5,7.1,0.9,32,133.2549306,13845.20429,8339.105609,0,0,2700,46800,63000,463
31923,1350.131216,71769.7,4.7,0.9,32.35,5736.799629,28826.915,369.1017355,1800,0,2700,25200,63900,714
34465,733.8473239,3292.2,6.5,1.8,24.04,13578.45742,58386.81092,271.0598251,22500,36000,100800,142200,91800,109
31943,785.7965638,2457.3,6.8,1.5,24.02,89113.20935,54256.30826,5443.040573,73800,475200,445500,276300,80100,39
42241,926.4343967,1159.6,4.6,1.8,12.7,43541.54801,643.3886679,486.8693111,121500,565200,134100,48600,900,0
33867,624.6095771,1020.5,3.5,1.4,21.71,95143.27079,25078.32222,1085.049837,1313100,1073700,443700,51300,13500,9
55548,1073.972552,1555.4,3.4,2,7.94,89036.81352,11431.98927,180.8112569,131400,734400,400500,36000,5400,6
31117,1763.066998,4266.3,3.4,1.5,28.25,111197.8459,84184.28659,4695.597713,17100,27900,481500,329400,133200,19
22604,747.426585,3141.3,7,0.9,29.81,33947.88465,57663.97904,4561.338288,0,136800,302400,312300,168300,56
15357,2945.837131,9689.8,17.5,0.8,54.25,0,57399.57942,1528.363595,0,15300,117000,129600,125100,86
20281,1161.62547,5603.6,15.3,1.1,46.34,69832.93069,124044.4253,5364.726574,1800,68400,524700,337500,205200,33
28926,1054.175314,4403.5,13.3,1.4,37.89,38257.93247,48075.39506,1789.225111,900,18000,276300,215100,86400,90
29307,1002.690876,4411.1,4.4,1.5,30.87,83362.8734,95265.53825,7997.695385,9900,124200,538200,332100,297000,75
46533,928.0853778,1835,1.1,1.6,5.81,104739.5249,46175.27526,671.7092476,240300,883800,506700,141300,61200,3
53409,817.6560544,1239.8,7.4,2.2,8.85,124531.3239,29839.41204,1222.299012,567000,933300,646200,213300,77400,9
174931,239.2949902,558.9,2,0,5.45,123076.9253,23015.23399,635.4230442,2602800,1138500,535500,179100,21600,18
108967,57.4516515,109.5,0,1.7,0,143947.1815,5422.875399,4055.261302,16532100,1665000,982800,387900,87300,0
115761,280.0276664,399.8,3.2,2.7,2.09,218412.4753,2868.746946,3225.244067,6091200,1393200,719100,21600,14400,0
50742,292.0242231,3048.1,2.7,1.4,4.7,67226.47518,250572.2733,6827.58436,1072800,531900,450000,576900,652500,75
28081,2063.044132,6515.1,10.1,1.4,15.6,55783.39466,36966.08768,38.63118427,0,93600,285300,149400,95400,59
55979,238.388285,348.1,3.1,1.5,4.45,100693.3634,10606.48809,515.0720152,3225600,604800,394200,99000,22500,0
102516,871.7987288,670.3,2.4,1.9,2.99,120573.0469,9508.79348,3179.672365,2153700,594900,429300,144900,60300,0
50583,1300.821639,1579.2,3.7,1.7,23.65,153216.0041,7371.842212,274.8841239,17100,1144800,602100,23400,0,0
27250,1663.191383,5185.4,16.4,1.3,47.19,44084.69077,15180.77253,7911.096873,0,49500,280800,112500,17100,3
22832,1771.383222,4723.1,10.8,1.2,35.84,69659.51341,36362.06692,799.2557108,0,10800,261000,234000,56700,58
0,0,1765.1,0,0,0,0,305689.134,11274.28701,1271700,497700,627300,656100,440100,9
0,0,1121.7,0,0,0,2019.282043,159194.1289,849.5479987,1432800,430200,482400,369900,228600,17
35785,471.6778255,724,5.3,1.6,28.33,104652.2569,11643.21172,906.2643282,1903500,1062900,431100,97200,31500,10
38579,214.492603,3618,6.6,1.5,7.06,28608.19631,237241.0127,52129.53095,22500,195300,609300,735300,342000,18
