OBJECTID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopres_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,Shape_Area_sqmi,Shape_Area_sqmi1,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,atrisk_acshhbpov,atrisk_acshhbpov_p,aggregationMethod_12,HasData_12,ORIGINAL_OID_12,sourceCountry_12,populationtotals_totpop_cy,total_population_density,aggregationMethod_12_13,HasData_12_13,ORIGINAL_OID_12_13,sourceCountry_12_13,householdincome_medhinc_cy,householdincome_medhinc_cy_i,Shape_Length,Shape_Area
25,47,065,47197703,00000040,00002120,4706500002120,G6320,S,2168728,0,+35.0053370,-085.1592811,,,,,73275,1359,1710,1494,681,813,1784.3,0.7,1.5,0.837347377,0.837347377,BlockApportionment:US.BlockGroups,1,25,US,38,3.41,BlockApportionment:US.BlockGroups,1,25,US,2636,12308845.59,BlockApportionment:US.BlockGroups,1,25,US,53785,89,0.063007852,0.000214155
26,47,065,47197703,00000060,00002080,4706500002080,G6320,S,2600394,0,+35.0306646,-085.1457513,,,,,73817,1220,1745,3402,2373,1029,3388.4,2.8,1.6,1.004013466,1.004013466,BlockApportionment:US.BlockGroups,1,26,US,251,23.68,BlockApportionment:US.BlockGroups,1,26,US,2465,9596721.091,BlockApportionment:US.BlockGroups,1,26,US,57028,94,0.065860016,0.000256859
27,47,065,47197703,00000060,00002180,4706500002180,G6320,S,2233567,0,+35.0248488,-085.1311381,,,,,103309,727,1303,1132,35,1097,1312.6,1.2,2,0.862381314,0.862381314,BlockApportionment:US.BlockGroups,1,27,US,0,0,BlockApportionment:US.BlockGroups,1,27,US,2092,9482834.533,BlockApportionment:US.BlockGroups,1,27,US,92032,152,0.057966544,0.000220609
28,47,065,47197703,00000060,00002170,4706500002170,G6320,S,2459951,0,+35.0140135,-085.1213508,,,,,85575,436,734,623,95,528,655.9,2.9,1.9,0.949788745,0.949788745,BlockApportionment:US.BlockGroups,1,28,US,8,2.07,BlockApportionment:US.BlockGroups,1,28,US,1151,4737842.791,BlockApportionment:US.BlockGroups,1,28,US,70957,117,0.073554912,0.000242938
29,47,065,47197703,00000070,00002200,4706500002200,G6320,S,3814790,0,+35.0549795,-085.1200057,,,,,120275,776,1522,2404,1237,1167,1632.2,0.8,2,1.472892956,1.472892956,BlockApportionment:US.BlockGroups,1,29,US,19,2.45,BlockApportionment:US.BlockGroups,1,29,US,1753,4650817.342,BlockApportionment:US.BlockGroups,1,29,US,70713,117,0.087309712,0.000376923
30,47,065,47197703,00000070,00002540,4706500002540,G6320,S,3169161,0,+35.0590307,-085.1070367,,,,,54486,399,587,805,144,661,657.9,0,1.8,1.223615775,1.223615775,BlockApportionment:US.BlockGroups,1,30,US,82,24.62,BlockApportionment:US.BlockGroups,1,30,US,1102,3519118.722,BlockApportionment:US.BlockGroups,1,30,US,52172,86,0.095767784,0.000313147
31,47,065,47197703,00000070,00002560,4706500002560,G6320,S,1770553,0,+35.0554684,-085.0760687,,,,,109888,495,531,1575,784,791,2304,2.4,1.4,0.683611171,0.683611171,BlockApportionment:US.BlockGroups,1,31,US,43,11.08,BlockApportionment:US.BlockGroups,1,31,US,1230,7030916.88,BlockApportionment:US.BlockGroups,1,31,US,76018,126,0.055783249,0.000174942
32,47,065,47197703,00000070,00002530,4706500002530,G6320,S,1928491,0,+35.0753578,-085.0966475,,,,,88345,326,1089,529,143,386,710.4,0,2.1,0.744590423,0.744590423,BlockApportionment:US.BlockGroups,1,32,US,52,10.16,BlockApportionment:US.BlockGroups,1,32,US,945,4958227.519,BlockApportionment:US.BlockGroups,1,32,US,82454,136,0.100970816,0.000190592
33,47,065,47197703,00000090,00002220,4706500002220,G6320,S,13620840,0,+35.0922472,-085.1038008,,,,,90659,889,0,2081,908,1173,395.7,2.8,0,5.259002403,5.259002403,BlockApportionment:US.BlockGroups,1,33,US,18,2.36,BlockApportionment:US.BlockGroups,1,33,US,2562,1902828.009,BlockApportionment:US.BlockGroups,1,33,US,76127,126,0.201872062,0.001346417
34,47,065,47197703,00000030,00000610,4706500000610,G6320,S,2634706,0,+35.0847621,-085.2559244,,,,,44059,3,7,2360,2353,7,2319.9,0,1.4,1.017261308,1.017261308,BlockApportionment:US.BlockGroups,1,34,US,0,0,BlockApportionment:US.BlockGroups,1,34,US,15,57599.89065,BlockApportionment:US.BlockGroups,1,34,US,42500,70,0.091368134,0.000260417
35,47,065,47197703,00000010,00000290,4706500000290,G6320,S,1715306,0,+35.0511954,-085.2825760,,,,,30335,114,93,18598,18363,235,28080.9,18.8,0.9,0.662280728,0.662280728,BlockApportionment:US.BlockGroups,1,35,US,37,35.92,BlockApportionment:US.BlockGroups,1,35,US,340,2006204.123,BlockApportionment:US.BlockGroups,1,35,US,24661,41,0.07100092,0.000169474
36,47,065,47197703,00000110,00002310,4706500002310,G6320,S,4096277,0,+35.1749938,-085.1914013,,,,,96930,670,1349,1018,147,871,643.7,4.9,2,1.581575566,1.581575566,BlockApportionment:US.BlockGroups,1,36,US,24,3.57,BlockApportionment:US.BlockGroups,1,36,US,1709,4216406.361,BlockApportionment:US.BlockGroups,1,36,US,81301,134,0.088214417,0.000405321
37,47,065,47197703,00000110,00001930,4706500001930,G6320,S,3348107,0,+35.1592418,-085.2049110,,,,,121781,1059,0,1599,212,1387,1236.9,0,0,1.2927047,1.2927047,BlockApportionment:US.BlockGroups,1,37,US,0,0,BlockApportionment:US.BlockGroups,1,37,US,2614,7891857.133,BlockApportionment:US.BlockGroups,1,37,US,93323,154,0.075897357,0.000331227
38,47,065,47197703,00000040,00002110,4706500002110,G6320,S,2789655,0,+35.0085809,-085.1753186,,,,,100404,886,1398,1080,173,907,1002.7,4.8,1.9,1.077087138,1.077087138,BlockApportionment:US.BlockGroups,1,38,US,24,3.31,BlockApportionment:US.BlockGroups,1,38,US,2073,7525045.503,BlockApportionment:US.BlockGroups,1,38,US,61337,101,0.094329601,0.00027548
39,47,065,47197703,00000040,00002100,4706500002100,G6320,S,2337404,0,+35.0233566,-085.1690841,,,,,78017,935,1814,2248,1356,892,2490.9,3,1.8,0.902473499,0.902473499,BlockApportionment:US.BlockGroups,1,39,US,56,5.51,BlockApportionment:US.BlockGroups,1,39,US,2038,8827817.318,BlockApportionment:US.BlockGroups,1,39,US,55207,91,0.067593078,0.000230861
40,47,065,47197703,00000050,00001520,4706500001520,G6320,S,2474066,0,+35.0618041,-085.1856191,,,,,75676,125,211,2810,2657,153,2941.8,2.4,1.7,0.955238753,0.955238753,BlockApportionment:US.BlockGroups,1,40,US,8,6.45,BlockApportionment:US.BlockGroups,1,40,US,276,1128963.908,BlockApportionment:US.BlockGroups,1,40,US,55715,92,0.063963383,0.000244472
