Household_Density,Daytime_Pop_Density,Percent_Unemployed,Average_Number_Vehicles,Percent_Poverty,Total_Population_density,Median_Household_Income,Undeveloped_Space_per_sqmi,Developed_Open_Spaced_sqmi,Developed_Low_Intensity_sqmi,Developed_Medium_Intensity_sqmi,Developed_High_Intensity_sqmi,Net_Passengers
687.4227511,4120.6,1.8,2.2,3.68,6582193.711,55356,0.03301155,0.19737432,0.14386086,0.06220071,0.02397681,2
455.1102289,916,2.5,1.4,11.16,5014876.011,76092,1.04003757,0.40204593,0.2154438,0.04795362,0.02988414,0
657.135978,723.6,1,1.7,12.77,5676667.643,47351,0.40343589,0.15185313,0.10876437,0.00799227,0,17
851.7212171,1167.7,4.2,1.8,16,7690898.118,39744,0.31100355,0.37945908,0.25505766,0.03370653,0.00590733,125
160.1448056,756.6,2.1,1.9,11.19,1484956.824,75162,5.64289011,1.42922637,0.9625473,0.53478711,0.40899573,0
209.5152146,2101.2,15.5,1.4,35.17,2242355.981,25847,0.11849409,0.08513505,0.19042452,0.23177583,0.18521217,0
1394.183168,3643.1,13.8,1.1,45.8,13277971.03,17023,0.01980693,0.05247099,0.15845544,0.10841688,0.02362932,250
336.3899459,709.6,21.4,0.9,47.69,3311064.088,18480,0.18938205,0.17339751,0.16123536,0.05664087,0.01563705,145
622.845485,1563,19.9,1.1,50.76,6317691.214,15291,0.38258649,0.19772181,0.17270253,0.06810804,0.08374509,233
1325.183558,2826.9,9.9,1.4,34.57,14466342.9,27947,0.02258685,0.1285713,0.19077201,0.03891888,0.01216215,26
1016.710428,1279.8,1.5,1.7,9.4,9952327.052,41474,0.04482621,0.16297281,0.06810804,0.00764478,0.00173745,0
9.498910392,4145.3,0,2,0,129911.0768,0,0.02884167,0.03613896,0.04308876,0.04552119,0.05664087,0
1074.275193,2296.7,5.8,1.6,7.38,8942194.68,46586,0.54382185,0.24880284,0.26548236,0.14768325,0.06915051,0
1218.475235,4156.3,10.8,1.4,39.73,15266186.97,28043,0,0.00799227,0.12787632,0.07818525,0.03509649,53
1567.375908,3239.4,6.2,1.6,33.28,18273052.47,30569,0.01911195,0.10111959,0.19980675,0.03023163,0.01980693,27
1165.482661,1410.1,3.8,1.7,23.54,10381537.71,50910,0.12023154,0.34783749,0.20779902,0.00799227,0.00104247,0
85.22848213,102.5,1.4,2.3,1.9,820891.9394,63643,6.38478126,0.61957467,0.27243216,0.01355211,0.00277992,0
85.16854241,113.1,0,1.5,18.71,811947.3341,69428,2.66733324,0.36104211,0.12544389,0.02501928,0.00138996,0
456.0060463,752.4,2.5,2,19.08,4197177.595,58739,0.53131221,0.45208449,0.31413096,0.05316597,0.00833976,0
1061.538299,2858.2,20.3,1,47.84,10855769.63,17791,0,0.0382239,0.12822381,0.05837832,0.04343625,138
424.6830839,1511.7,15.7,1.4,35.24,4387562.827,25728,0.25436268,0.13725855,0.24428547,0.16227783,0.11084931,3
1026.089945,2629.4,1.6,1.7,16.41,9310880.521,57201,0,0.00312741,0.03162159,0.09104238,0.09243234,34
8.611093878,3025.3,4.3,2,50,549799.3456,30000,0.00521235,0.03335904,0.05525091,0.12301146,0.13239369,29
7789.148284,12995.7,17,0,61.83,49917885.43,10253,0.00034749,0.00938223,0.10528947,0.09938214,0.01563705,171
956.492645,3508,0.8,1.7,22.53,9244827.572,37389,0.12891879,0.20293416,0.28111941,0.10181457,0.07401537,0
933.8299569,2924.6,0,1.1,22.09,6908804.346,32316,0.13656357,0.11675664,0.20189169,0.06567561,0.04969107,0
475.0863965,922.8,1.8,1.9,10.31,4245894.526,42712,1.04281749,0.8999991,0.47015397,0.18104229,0.06046326,0
476.1757533,2459,18.8,0,30.97,4631469.245,19065,0.01633203,0.11154429,0.24776037,0.16783767,0.23837814,78
1835.249696,3395.2,15.6,1.1,32.12,17401923.21,24918,0.01494207,0.08061768,0.25471017,0.06671808,0.00868725,94
11.24192464,9449.4,0,0,0,43936.58022,0,0,0.00173745,0.01528956,0.02467179,0.04725864,317
2883.920931,7246.7,1.7,1.7,16.3,19050928.73,57044,0,0,0.01216215,0.03301155,0.03996135,70
0,2392.6,0,0,0,0,0,0,0.00034749,0.0069498,0.03961386,0.07088796,47
157.994304,1627.2,0,1.7,16.67,1729189.524,60675,0.00069498,0.00208494,0.02258685,0.0243243,0.01320462,22
83.44385472,6008.3,0,0.9,25,434752.4107,29226,0.03509649,0.00069498,0.0069498,0.01841697,0.0104247,30
47.01895367,44319.2,0,0,0,183738.1404,0,0,0,0,0.00034749,0.02119689,245
184.7517883,92765,0,0.8,25,1082977.919,7500,0,0,0,0.00208494,0.01911195,851
3586.670292,60759.9,4.2,0,0,19718512.04,33199,0,0,0,0.00625482,0.02640924,793
0,116330.7,0,0,0,909961.4349,0,0.00173745,0,0,0.00799227,0.02884167,101
1831.198358,29555.2,6.1,1.2,31.96,20566293.59,27785,0,0,0.00138996,0.01459458,0.0382239,45
3648.767118,47765.7,4.4,0.9,30.93,19155489.05,33036,0,0,0.00173745,0.0138996,0.05872581,198
912.8057027,15433.5,3.9,0.9,31.19,5283698.085,32502,0.00034749,0,0.00243243,0.02606175,0.05768334,1
1956.299143,2415.8,2.5,1.7,8.03,15606248.72,63837,0.00382239,0.27555957,0.25436268,0.05942079,0.0173745,77
327.7503172,641.4,0,2.2,2.4,2945515.903,120883,0.29640897,0.47884122,0.13065624,0.0138996,0.00312741,4
894.1060693,1317.4,0.2,1.5,4.65,6987303.88,81261,0.13100373,0.14038596,0.19945926,0.05073354,0.00555984,6
857.6007448,5562.7,0,1.5,4.71,4576133.034,84385,0.04552119,0.00938223,0.01806948,0.02606175,0.00938223,67
1190.76019,6013.8,2,1.5,14.29,8411387.082,45873,0.05142852,0.04204629,0.08305011,0.08860995,0.05455593,56
825.2564985,1579.4,4,1.6,13.02,7498094.083,47485,0.24289551,0.33915024,0.18034731,0.08895744,0.03370653,0
1632.352257,15287.6,6.4,1.9,24.22,27801454.86,35430,0.00104247,0.00625482,0.04830111,0.04274127,0.01146717,124
3059.571834,16194.4,6.6,1.3,33.19,84341570.64,24352,0,0.00034749,0.02050191,0.06220071,0.02536677,19
14.44534171,997.1,0,0,0,112924.3243,0,0.00034749,0.00138996,0.02501928,0.02571426,0.01598454,2
0,1271.7,0,0,0,0,0,0.00069498,0.00069498,0.00833976,0.01598454,0.00903474,0
0,2398.2,0,0,0,0,0,0.08096517,0.00903474,0.03092661,0.0277992,0.01077219,0
0,18554.2,0,0,0,23535.42617,0,0.00729729,0.03544398,0.04621617,0.04621617,0.03162159,13
344.5838653,8054.2,0,0.9,28.57,2115983.033,31872,0,0.00312741,0.00833976,0.01563705,0.01285713,187
2339.801855,54104,3.8,0.9,30.39,13659504.93,33106,0,0,0.00486486,0.01285713,0.0173745,93
0,25974.6,0,0,0,0,0,0,0,0.00104247,0.00972972,0.01320462,385
227.5983858,7227.3,6.8,1.3,34.78,1883114.097,24439,0,0.00555984,0.04795362,0.09486477,0.19077201,263
816.2149085,1943.2,10.7,1.1,46.12,8201190.117,29581,0.13795353,0.20223918,0.16992261,0.05803083,0.02536677,1
1606.810923,3240.6,11.9,1,24.39,17277208.77,30750,0.12405393,0.13830102,0.0903474,0.03961386,0.0104247,119
1388.909226,17057.8,16.2,0.8,54.24,14046531.79,14759,0.00277992,0.04621617,0.17756739,0.09590724,0.03023163,24
1329.91247,14078.5,3,1.3,15.11,12810967.4,26523,0,0.00451737,0.08061768,0.07575282,0.03023163,101
1916.681,5750.4,6.6,1.3,33.5,18785837.37,24829,0,0.00069498,0.034749,0.07019298,0.02884167,52
1146.589547,5959.4,1.7,1.7,16.24,12347732.76,56755,0.00069498,0.00104247,0.0173745,0.04656366,0.06185322,87
2764.681275,7334.8,4.7,0.9,30.92,16246818.23,32906,0.04030884,0.00625482,0.02362932,0.05490342,0.01563705,366
351.293636,407,8.2,1.6,20.27,2260023.875,31424,0.14629329,0.01980693,0.03683394,0.02606175,0.00555984,10
1568.651312,14619,5.6,1.2,24.24,7616059.537,32455,0.00104247,0.00034749,0.00104247,0.01563705,0.00312741,67
1502.315948,10477.8,7.5,1.5,19.75,35959257.29,30618,0,0.00069498,0.01667952,0.03162159,0.00972972,15
1687.806858,13757.1,7,1.1,28.04,42910773.99,31453,0,0,0.00104247,0.02675673,0.02536677,105
536.2376212,125524.5,7.1,0.9,32,2915535.611,35000,0,0,0.00104247,0.01806948,0.0243243,463
1350.131216,71769.7,4.7,0.9,32.35,73978288.45,31923,0.00069498,0,0.00104247,0.00972972,0.02467179,714
733.8473239,3292.2,6.5,1.8,24.04,5964189.239,34465,0.00868725,0.0138996,0.03891888,0.05490342,0.03544398,109
785.7965638,2457.3,6.8,1.5,24.02,8434037.237,31943,0.02849418,0.18347472,0.17200755,0.10667943,0.03092661,39
926.4343967,1159.6,4.6,1.8,12.7,8420474.247,42241,0.04691115,0.21822372,0.05177601,0.01876446,0.00034749,0
624.6095771,1020.5,3.5,1.4,21.71,6211755.9,33867,0.50698791,0.41455557,0.17131257,0.01980693,0.00521235,9
1073.972552,1555.4,3.4,2,7.94,9663540.657,55548,0.05073354,0.28355184,0.15463305,0.0138996,0.00208494,6
1763.066998,4266.3,3.4,1.5,28.25,21451593.95,31117,0.00660231,0.01077219,0.18590715,0.12718134,0.05142852,19
747.426585,3141.3,7,0.9,29.81,8985571.673,22604,0,0.05281848,0.11675664,0.12057903,0.06498063,56
2945.837131,9689.8,17.5,0.8,54.25,28516285.81,15357,0,0.00590733,0.0451737,0.05003856,0.04830111,86
1161.62547,5603.6,15.3,1.1,46.34,13456158.82,20281,0.00069498,0.02640924,0.20258667,0.13030875,0.07922772,33
