2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Household_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,PrimaryLengthMeters,SecondaryLengthMeters,TertiaryLengthMeters,WalkingLengthMeters,Pri_LengthMetersHalf,Ridership
0,0,0,0,0,0,7800,7920,11220,10200,810,,,,,,990.4566414,,,464
0,0,0,0,0,2199.623477,240,2640,10590,18870,6420,,1217.869011,124.5629299,195.6219227,,553.8115578,236.0674615,195.6219227,464
0,0,0,0,0,3116.100381,60,30,2790,3600,930,,254.1123989,,,305.5130409,93.4282025,,,464
0,0,2.33,95991,713.0768442,1235.999863,157680,79380,136680,7590,150,26301.53353,2153.605266,197.1091854,,395.3948346,4536.627477,168.1491661,,465
0,0,0,0,0,0,,,690,540,,,,,249.6300139,,,,249.6300139,464
0,0,0,0,0,0,,,1650,1080,,,,,393.5404916,,,,393.5404916,458
0,0,0,0,0,0,,,2370,2760,780,,,,695.1432555,,28.42555174,,695.1432555,444
0,0,0,0,0,0,7800,480,1170,,,,,,,,428.4690809,55.13934487,,464
0,0,0,0,2.24641353,0,1040400,55470,17670,33000,6420,203.2380716,212.1939971,,373.4104294,,2074.742744,3860.960972,373.4104294,464
0,0,0,0,0,0,,,60,2670,240,,,,742.2120266,,74.54829344,,742.2120266,464
0,0,0,0,0,5774.643873,51330,82770,110730,180270,119340,,57044.26095,1049.938739,645.1345806,,2042.783148,,645.1345806,464
0,0,0,0,0,0,,,1260,,,,,,,,,,,480
0,0,0,0,0,0,26130,33060,17010,2040,,,,,,,1348.706209,,,464
0,0,0,0,0,0,5370,180,30,,,,,,,,,,,464
0,0,0,0,0,0,1320,1860,,,,,,,,,,,,479
0,0,0,0,0,0,,330,690,,,,,,,,326.5328571,,,480
0,0,0,0,114.514632,20841.66303,,,3420,11880,30060,,8620.515618,,508.527814,281.7422357,37.26419792,,508.527814,464
0,0,0,0,0,0,1800,5040,2460,,,,,,,179.8817264,187.7398737,,,468
0,0,0,0,0,0,,,1200,2460,,,,,501.7851902,,100.698187,,501.7851902,464
0,0,0,0,0,0,,390,1410,210,,,,,303.2011536,,34.10557093,,303.2011536,435
0,0,0,0,0,0,780,2370,6300,1440,,,,,453.1432579,,206.8846216,,453.1432579,464
0,0,0,0,0,0,,,,270,,,,,343.6802756,,,,343.6802756,464
0,0,0,0,0,0,,960,9690,4320,360,,,,744.1521053,,56.39699869,,744.1521053,464
0,0,0,0,0,0,,,6870,3420,10770,,,,3039.387724,,,,3039.387724,468
0,0,0,0,0,0,6360,,11970,300,480,,,,1799.01154,,,,1799.01154,456
2.28,0,3.58,117375,393.8905618,516.5777859,1278510,504120,216390,6360,,78232.84455,1037.893694,658.9288132,,,10536.29097,,,462
2.13,0,2.82,116437,494.5226874,895.4870286,290040,49080,48510,,,16431.30224,749.5260412,,,,3523.380146,,,464
0,0,0,0,0,0,226320,93930,93510,49050,82290,,7952.177485,,2684.294441,,,,2684.294441,465
0,0,0,0,258.1857066,6325.54981,,,,6870,13260,,2548.687657,,,169.2197064,272.9359857,,,476
0,0,0,0,0,0,,420,990,,,,,,,,206.375383,,,464
0,0,0,0,0,0,,1440,960,180,,,,,,,,,,464
0,0,0,0,0,0,,2400,2610,8010,2430,,,,,,477.7830276,109.0264103,,464
0,0,0,0,0,0,10650,15780,1080,900,,,,,,,,,,464
0,0,0,0,0,0,24120,13590,3090,,,,,,,,,,,472
0,0,0,0,0,0,21780,53280,6330,,,,,,,,,,,464
0,0,0,0,0,0,,14580,9690,960,,,,,,,757.495616,,,464
0,0,0,0,0,0,37740,9060,2280,,,,,,,,,,,464
0,0,0,0,0,0,,6870,19470,38430,14850,,,19270.50761,,,568.2701346,,,466
0,0,0,0,0,122.8495291,,1590,12810,18570,30120,,8111.24504,,,,617.9503837,307.9466508,,464
0,0,0,0,0,14206.91944,,5040,13470,11130,,,5414.647643,,,,969.7401903,,,464
0,0,0,0,0,0,22830,11160,60,,,,,,,,,,,462
0,0,0,0,0,0,,,11760,5130,16770,,,,3380.340812,,73.00149684,,3380.340812,464
0,0,0,0,0,2464.83601,,690,30150,30390,11220,,7600.403683,,1799.378878,63.74449834,683.0633548,,1799.378878,464
0,0,0,0,269.2696271,538.5392542,1650,3240,3030,390,,,,,,,152.3722325,,,464
0,0,0,0,0,0,,,1440,1170,,,,,146.7574438,417.5428442,,,146.7574438,464
0,0,0,0,0,30259.40641,,,540,1410,,,,,,168.7291118,67.83056816,,,464
0,0,0,0,0,0,207120,,,,,,,,,,,,,463
0,0,0,0,0,0,,,,480,,2.8069974,,,,,152.1486631,,,464
0,0,0,0,0,0,2490,2760,3900,750,,,,,,,350.9084481,,,464
0,0,0,0,0,0,,150,16950,210,,,,,1420.299861,,89.15487694,,1420.299861,464
0,0,0,0,0,0,60,210,,,,,,,,,121.9984671,,,464
0,0,0,0,0,0,,570,3600,9780,,1425.926402,,,,,87.66843788,,,465
0,0,0,0,0,1204.280976,,1230,3090,,,,258.4982273,,,,317.1420618,,,464
0,0,0,0,0,23097.56033,,,,14370,13920,,708.1817714,,119.9437323,,389.2076296,,119.9437323,464
5.26,0,18.31,56805,862.0003751,2104.624292,16590,136560,61440,16740,90,14926.87572,2753.928989,,326.2932749,,3578.425512,,326.2932749,464
0,0,0,0,0,0,,,,1050,270,,,,202.9745158,,,,202.9745158,464
6.25,0,17.14,56628,1382.429028,2369.878334,,36120,28200,1080,,6418.24041,,78.31688282,,,1591.820393,,,464
0,0,0,0,0,0,,,6300,1050,,,,,673.6396936,56.10389412,,,673.6396936,462
0,0,0,0,0,0,810,4830,150,,,,,,,,,,,464
0,0,0,0,0,0,3210,600,,,,,,,,,,,,468
0,0,0,0,0,0,5310,12030,13530,6870,720,,,,,,1254.6921,,,464
0,0,0,0,0,0,,5070,900,390,,,,,,,,,,464
0,0,0,0,0,0,,7170,930,,,,,,,,,,,464
0,0,0,0,0,0,,,2340,1200,,,,,,,333.0132188,,,464
0,0,0,0,0,0,,,330,,,,,,,69.28286747,80.01829462,,,464
0,0,0,0,0,0,320370,930,,,,,,,,,,,,469
0,0,0,0,0,141.9865807,16770,64230,113700,58620,111150,,27063.75309,11765.16883,,,478.7694337,,,464
0,0,0,0,0,0,126540,,,,,,,,,,,961.9136082,,464
0,0,0,0,0,0,92790,,,,,,,,,,,101.3393194,,464
0,0,0,0,0,0,5130,2550,,,,,,,,,,,,464
0,0,0,0,0,0,,4200,58860,51180,66660,,69899.54475,,,,,,,464
0,0,0,0,0,0,621210,40200,6300,,,,466.8224336,,,,,21.72447317,,464
0,0,0,0,0,0,,,4170,1200,180,,,,544.8470518,,123.2865821,,544.8470518,464
0,0,0,0,0,368.4209828,6510,10590,30480,26850,17310,1024.63487,4196.245894,,1359.976947,25.91868766,,,1359.976947,465
0,0,0,0,0,0,,,300,,,,,,,,107.3053375,,,464
0,0,0,0,0,10239.52036,,,,14730,2970,,1778.762392,,,260.1457058,,,,463
0,0,0,0,0,8412.589022,,900,9030,33390,29010,,23316.47309,,535.2776633,,476.398996,,535.2776633,464
0,0,0,0,0,0,2790,1260,,,,,,,,92.53158725,,90.74875392,,461
0,0,0,0,0,885.2578867,,40620,46530,19470,4680,,6250.27628,,,,1369.89703,,,464
0,0,0,0,0,16458.92216,,,720,6270,750,,268.7240271,,,287.479131,515.8786364,,,356
0,0,0,0,0,2395.057288,156240,135150,95040,68370,60720,,13261.45659,,419.2708287,,185.6435697,,419.2708287,462
0,0,0,0,0,0,385380,8160,2910,,,57.14249305,,,,,476.0053422,5313.514831,,485
0,0,0,0,0,0,1260,15840,3120,750,,,171.3645982,,,,744.7191903,,,435
10,0,20,54463,1692.266029,3046.078853,,1980,28350,,,4448.15601,,,,,1020.407593,,,464
0,0,0,0,0,0,3810,2820,,,,177.4245486,,,,,465.5764311,,,464
0,0,0,0,0,0,3990,10470,6480,,,990.7527922,,,,,417.8121807,,,464
0,0,0,0,0,0,7830,5040,26610,21180,,,,,2862.587007,,,,2862.587007,464
0,0,0,0,0,5028.290445,,1080,5880,23310,57240,,21151.57445,,,,,,,455
0,0,0,0,0,0,,,,,11490,,,,,,,,,464
0,0,10,63804,1320.842313,1981.263469,,1800,17820,,,2499.695835,,,,,609.4862825,,,464
0,0,0,0,0,0,60,30450,10320,1080,,6078.984817,,,,,966.3748763,,,464
0,0,0,0,0,0,28560,14460,480,3510,180,,,,,747.7767225,288.7604102,,,455
0,0,0,0,0,0,,300,690,,,,,,,176.0630066,,,,464
0,0,0,0,0,0,1350,5190,,,,,,,,577.7614034,,,,467
0,0,0,0,0,0,,30,300,60,,,,,73.30316259,,304.8437827,,73.30316259,464
0,0,0,0,0,0,,1050,,,,,,,,,196.8264463,,,466
0,0,0,0,0,0,1530,870,,,,,,,85.26099003,,,,85.26099003,466
0,0,0,0,0,0,,3210,,,,,,,,,281.2526166,,,462
0,0,0,0,0,0,,,870,3510,660,,,,294.0668382,223.5922396,133.7804584,,294.0668382,464
0,0,0,0,0,1727.67636,,,1920,5130,450,,617.2498656,,584.2968234,77.17440569,,,584.2968234,464
0,0,0,0,0,18977.80471,,,,,10380,,3307.83824,,160.8050654,29.03352025,213.6180996,,160.8050654,464
0,0,0,0,0,0,,120,1800,,,,,,,,327.0167007,,,464
0,0,0,0,0,0,,120,870,,,,,,,,202.6435745,,,464
0,0,0,0,0,0,6660,1020,60,,,,,,,,,,,463
0,0,0,0,0,0,,2010,1380,,,,,,37.95774839,,109.1808244,,37.95774839,467
0,0,0,0,0,2242.370018,,390,3000,,,288.1204636,,,,,305.2109176,,,464
0,0,0,0,0,46.00397906,373950,60060,143460,63480,34470,,772.4088369,,6030.026987,,193.0065884,,6030.026987,464
0,0,0,0,0,0,840,2190,7560,60,,,,,553.2536101,,105.6336102,,553.2536101,464
0,0,0,0,0,0,27930,,,,,,,,,,,,,464
0,0,0,0,0,0,150,2910,1320,,,0.2243228,,,,356.5440556,111.7166772,,,464
0,0,0,0,0,0,,,,150,,,,,100.4823619,85.55950058,,,100.4823619,464
0,0,0,0,0,0,,,7590,1080,,,,,,,307.7281048,,,464
0,0,0,0,0,0,10230,9120,,,,,,,,318.2331383,134.9138337,130.2118644,,464
0,0,0,0,0,0,5670,870,,,,,,,,,,97.5659946,,464
0,0,0,0,0,5921.624346,,5310,23610,40380,17790,,20530.18769,863.3665066,,,945.8547072,,,464
0,0,0,0,0,0,,,270,13950,5040,,,,2733.513277,112.2778948,,,2733.513277,464
0,0,0,0,0,0,523860,37020,8070,,,,,,,,2190.920156,916.4996213,,464
0,0,0,0,0,0,,240,10290,1050,,,,,935.1379786,,104.9773255,,935.1379786,464
0,0,0,0,0,3406.180798,,12090,15390,15510,13980,,11108.63873,,,,626.9693418,,,460
0,0,0,0,0,6152.054014,,,,10620,31890,,6594.724122,,,,975.5570461,,,464
0,0,0,0,0,1739.074833,,,2160,13590,2070,,1715.719228,,,,642.8730585,,,475
0,0,0,0,0,653.0465488,,,3360,2700,9780,,1606.801769,,202.5634295,,517.961073,,202.5634295,464
0,0,0,0,0,8441.785708,,,,9570,5790,,3469.015065,,,,504.3109074,,,464
0,0,0,0,0,1320.119744,,,2640,4080,1140,,327.8197636,,189.1485146,,235.046546,,189.1485146,435
0,0,0,0,0,5639.714314,,,1020,5730,1020,,1341.317487,,189.8319395,,221.5293742,,189.8319395,464
0,0,0,0,221.4972674,0,,2520,3960,1680,3720,165.8970999,,,,,392.9586173,,,464
0,0,0,0,0,8391.450152,,,930,5670,8220,,7048.50655,,206.2968829,,264.0466132,,206.2968829,464
0,0,0,0,0,2570.901034,,,60,4680,10410,,4349.256245,,189.5953054,154.7887858,322.1407993,,189.5953054,464
0,0,0,0,0,0,,,2100,10770,2820,,,,,,707.0243209,,,465
0,0,0,0,0,0,,3600,10380,5010,180,,,,767.0932165,386.0016571,26.21596204,,767.0932165,464
0,0,0,0,0,0,,,480,1650,,,51.59143853,,101.2262192,167.2717497,93.64390142,,101.2262192,464
0,0,0,0,0,0,,180,600,,,,,,,,208.5769549,,,464
0,0,0,0,0,0,,,1920,6810,240,213.6904091,1315.960538,,,,430.2112222,,,464
0,0,0,0,0,1812.02954,,,,3240,9660,,2545.30694,,154.4040317,,434.3643302,,154.4040317,465
0,0,0,0,0,3363.9845,,,870,3990,1350,,1613.001198,,,,524.5275702,,,464
0,0,0,0,0,7426.624878,,,210,3270,8730,,2264.317021,,142.5788522,,446.9902073,,142.5788522,464
0,0,0,0,0,0,,6300,22800,14250,,,,,2290.034098,,,88.28208067,2290.034098,464
0,0,0,0,0,0,288120,20550,23310,24660,1080,,,,1463.636437,,,798.1807502,1463.636437,464
0,0,0,0,0,0,,,,1410,2040,,,,,,144.5278542,,,464
0,0,0,0,0,0,,,300,,,,,,,,164.863863,,,464
0,0,0,0,0,5731.775047,,510,17700,14640,41340,,15788.59183,,1216.148272,,,,1216.148272,463
0,0,0,0,0,0,,,,840,1500,,,,281.3018326,,156.448568,,281.3018326,464
0,0,0,0,0,2579.770233,,,1440,10470,4020,,3170.64664,,55.82447917,,653.3698752,,55.82447917,462
0,0,0,0,0,0,,270,,,,,,,,,200.9299496,,,464
0,0,0,42500,1122.558861,841.9191455,,750,6990,1500,,,330.7188764,,547.2519153,,189.9396202,,547.2519153,464
0,0,0,0,0,0,,1680,11700,2580,,,,,2795.769741,,163.7412533,,2795.769741,459
0,0,0,0,0,0,,2970,6240,4830,,,,,2181.429308,,63.35457748,,2181.429308,464
0,0,0,0,0,1535.764974,14190,40470,26970,33780,6870,,3967.31865,115.8576276,405.4690639,,402.1851517,,405.4690639,464
0,0,0,0,0,0,,,,570,330,,,,107.4999576,,165.5397767,,107.4999576,464
0,0,0,0,0,4709.037174,,,,6930,14640,,1329.837873,,211.180647,,316.709275,,211.180647,465
0,0,0,0,0,0,,,450,,,,,,,,143.2126548,,,464
0,0,0,0,0,0,,,30,2910,,,,,205.1039104,684.6035391,,,205.1039104,464
0,0,0,0,0,0,,,,90,1260,,,,,,,,,464
0,0,0,0,0,3671.95093,,120,4410,9990,360,939.7673046,276.7985091,,,297.5970172,120.8682487,,,456
0,0,0,0,0,0,,,1350,330,,,,,,295.5624313,,,,464
0,0,0,0,0,0,,,900,4470,150,,,,348.6350144,1012.407218,61.78150105,,348.6350144,464
0,0,0,0,0,0,,,,540,,,,,,173.5212,43.2842218,,,464
