No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
72,1870,74422,848,1766,1256,181,1075,722.8,0,2,1.737665652,92,10.42,2286,5133955.012,67271,111,0,0,0
73,1090,63916,748,982,951,193,758,2432.2,1.4,1.6,0.390958791,76,12.34,1582,15818640.73,46702,77,493,491,2
74,450,49487,61,69,429,359,70,3084.1,5.4,1.6,0.139143304,14,31.82,175,4915511.409,30531,50,143,115,28
75,1610,40851,26,23,1142,1109,33,1184.2,7.1,1.4,0.964356764,3,17.65,46,186264.9834,28027,46,39,26,13
76,1140,44061,311,485,483,41,442,727,11.9,1.9,0.664356827,24,9.3,798,4692791.14,37978,63,22,23,1
77,2750,162152,3,0,909,904,5,2105.1,0,0,0.431790766,0,0,9,81408.19774,200001,330,0,0,0
78,1120,71229,593,1017,976,160,816,1491.9,4.2,1.8,0.65423899,49,8.45,1464,8745526.974,41683,69,35,47,12
79,1890,52355,345,464,1921,1562,359,4943.4,4.8,1.6,0.388569726,58,20.42,688,6911957.607,36776,61,149,129,20
80,1490,46968,1075,1349,1954,1070,884,2268.1,0.5,1.3,0.861538692,137,12.97,2068,9381189.299,37652,62,292,270,22
81,2070,80621,58,81,6600,6537,63,12504.7,3.8,1.8,0.527828447,2,4.35,137,1014499.904,57161,94,643,489,154
82,2140,101185,1421,0,2409,623,1786,1599.3,0.7,0,1.506251215,83,6.89,3756,9751349.917,71516,118,0,0,0
83,2040,87949,23,16,517,490,27,2444.4,4,1.5,0.211458534,2,18.18,50,924080.0193,50000,83,0,0,0
84,2010,58583,838,1319,2516,1760,756,1669.1,1.2,1.8,1.507404295,25,3.34,1874,4857683.72,53335,88,0,7,7
