2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Household_Density,PrimaryLengthMeters,Pri_LengthMeters_Half,SecondaryLengthMeters,TeriaryLengthMeters,WalkLengthMeters,Ridership
822.6,2.9,1.9,9.7,38788,70562.83283,63529.52934,639.8797092,1400400,735300,630900,229500,72000,377.1582513,,,4692.347818,9048.609485,5029.76599,4
2381,7.4,0,31.45,33711,55351.4064,443.1351331,371.3982928,0,354600,205200,4500,0,1790.760706,,,561.5841905,9300.885631,,0
1373.4,3.7,0,20.5,59959,125477.295,13655.45719,250.7657449,45000,924300,464400,56700,9900,1070.362122,1212.423072,1212.423072,17.19919562,15941.62942,708.707927,0
467.1,3.1,1.7,15.28,42279,80620.04333,18350.52926,1380.566772,2985300,620100,457200,141300,25200,318.3896124,16272.16942,8616.835829,5189.718673,8709.866278,211.3738984,0
3418.6,4.9,1.6,20.13,36880,61421.5391,84283.05341,273.6985233,40500,514800,452700,225000,121500,715.9700683,1850.855086,1850.855086,,10938.95193,,0
551.4,1.8,2.4,0,131992,178591.5722,3460.686339,1201.550591,1566000,1089900,453600,138600,3600,372.0784566,,,,14817.0979,,0
1107.9,2.7,2,21.55,30029,47834.42258,42036.48667,631.6081046,352800,630000,345600,192600,72000,492.9896927,,,3125.692923,6035.761141,1669.34097,5
284.3,0,0,0,0,0,576445.2358,48179.35957,7001100,2871900,2026800,1594800,1645200,0,7425.539168,3712.769584,2252.010572,16803.37652,2492.201665,1
2420.3,7.3,1.6,9.13,37935,99883.81091,9152.208527,4495.496259,36900,453600,551700,56700,6300,1423.659322,,,1541.372796,12452.60646,,0
180.9,13.6,2.2,6.03,51093,79734.89,12682.40311,1664.628521,5730300,668700,396900,46800,20700,133.9249482,7542.317857,3771.158929,,16492.5365,,0
206.7,8.1,1.9,15.06,59024,167950.2458,35203.93481,6307.386935,11389500,1425600,855000,173700,45000,125.8163348,15348.95986,9599.169253,1000.825997,25645.76108,17.11533358,0
2188,4.1,1.7,15.16,47336,169433.8043,58806.79284,0,728100,1506600,712800,180000,113400,860.1753427,2700.589434,2700.589434,,22613.81503,13.01387857,0
548.1,3,1.7,15.32,41990,102110.1557,20947.94818,604.5626718,2704500,780300,379800,83700,22500,390.2521264,4315.009725,4315.009725,7661.451568,11183.2117,21.7835503,0
1123.6,0,1.8,20.87,60057,100330.0427,20357.73297,953.2671587,927900,1024200,453600,70200,18000,552.0136352,7804.394231,6200.017447,87.53520854,15044.75138,,0
676,1.6,1.5,0,36860,71894.26599,56105.29253,11839.82837,4445100,702900,414900,216900,66600,214.5714596,,,2127.31399,16849.77448,728.9459148,0
722.8,0,2,10.42,67271,167190.6792,8391.599452,1089.503037,2108700,1519200,794700,72000,4500,488.0903116,2861.616201,2123.202952,,25331.60639,,0
2432.2,1.4,1.6,12.34,46702,78613.01914,12261.18722,615.5566617,7200,606600,309600,58500,19800,1913.570774,2603.277578,1755.96102,1271.652217,11788.17272,,2
3084.1,5.4,1.6,31.82,30531,5571.385007,17896.65465,13340.34453,0,24300,111600,162900,61200,438.481193,1718.95165,1718.95165,704.6735031,1083.730849,2243.936888,28
1184.2,7.1,1.4,17.65,28027,4305.073625,126678.3167,11372.50112,468900,504900,568800,443700,511200,26.96534604,15664.35948,9863.024271,,1326.473234,521.0748594,13
727,11.9,1.9,9.3,37978,53340.3949,4154.36401,1364.086795,759600,730800,205200,21600,900,468.1946622,,,4397.105639,10825.25039,1245.102203,1
2105.1,0,0,0,200001,0,92521.04157,64.0192687,302400,140400,289800,211500,170100,6.947984929,7594.610262,3797.305131,,4943.605338,,0
1491.9,4.2,1.8,8.45,41683,107208.8309,11995.39369,1551.925807,314100,977400,355500,40500,7200,906.5466868,,,3918.680077,16613.37065,273.9693254,12
4943.4,4.8,1.6,20.42,36776,29513.09198,114392.1747,1133.41328,4500,208800,215100,234000,342000,888.0169452,2426.97236,1632.66663,1497.918189,6681.138295,296.9553912,20
2268.1,0.5,1.3,12.97,37652,127724.0865,69296.69683,256.0643223,414000,759600,598500,304200,155700,1247.909991,4465.694459,3352.115314,2664.438665,11625.28104,950.6285562,22
12504.7,3.8,1.8,4.35,57161,16499.3939,188540.695,376.7014704,0,85500,163800,577800,538200,109.8951526,4941.53028,2470.76514,3099.694786,2479.471052,,154
1599.3,0.7,0,6.89,71516,300920.1473,32744.25722,1689.912737,1307700,1124100,1129500,254700,49500,943.4798981,,,1864.304637,29409.22248,,0
2444.4,4,1.5,18.18,50000,5756.702192,16013.45395,758.7032945,69300,131400,118800,155700,69300,108.7783901,4229.517742,2114.758871,705.368513,3121.637754,,0
1669.1,1.2,1.8,3.34,53335,155826.91,125805.4672,8802.580549,576900,1253700,1155600,596700,315900,555.9725048,12162.42922,6907.96473,2807.861694,19455.26949,,7
1058.8,2.8,2,31.75,53737,84648.90404,22094.54292,970.9817819,320400,629100,498600,102600,18000,673.4986419,2266.77912,1224.925292,,11793.59035,,3
4120.6,1.8,2.2,3.68,55356,53262.4122,60069.05683,151.076406,85500,511200,372600,161100,62100,687.5046863,,,854.1911993,11046.89841,,2
916,2.5,1.4,11.16,76092,73397.38991,32972.57457,7219.469966,2693700,1041300,558000,124200,77400,455.1326476,,,1960.43842,15218.86273,2164.596962,0
723.6,1,1.7,12.77,47351,59213.6729,2240.481431,203.9974444,1044900,393300,281700,20700,0,657.2855855,,,6261.875007,10013.29084,5205.219897,17
1167.7,4.2,1.8,16,39744,113007.7018,26335.9906,3230.72607,805500,982800,660600,87300,15300,851.9084902,,,3806.102314,21024.92962,2405.542401,125
756.6,2.1,1.9,11.19,75162,341422.1097,252034.2057,176434.0753,14615100,3701700,2493000,1385100,1059300,160.1847487,21819.03921,15329.83498,8767.267335,61674.33845,42556.8021,0
2101.2,15.5,1.4,35.17,25847,23950.49322,169364.5123,72453.29397,306900,220500,493200,600300,479700,209.5572117,1948.201006,1948.201006,1422.74669,14008.74127,,0
3643.1,13.8,1.1,45.8,17023,33571.15466,44412.54732,32549.19355,51300,135900,410400,280800,61200,1394.48322,,,3002.454402,9639.606912,100.1120229,250
709.6,21.4,0.9,47.69,18480,21098.66171,41190.38836,1287.080211,490500,449100,417600,146700,40500,336.4598839,,,546.7280243,6427.463207,,145
1563,19.9,1.1,50.76,15291,58913.20272,59572.78246,391.3308435,990900,512100,447300,176400,216900,622.9766583,,,,11777.7789,,233
2826.9,9.9,1.4,34.57,27947,71170.69898,30869.2589,2116.44279,58500,333000,494100,100800,31500,1325.430452,1401.726045,958.0218482,,15499.62037,493.0096569,26
1279.8,1.5,1.7,9.4,41474,46817.25954,2395.502562,0,116100,422100,176400,19800,4500,1016.895417,782.3944466,472.7612491,,7739.392599,,0
4145.3,0,2,0,0,503.8441694,79934.32538,0,74700,93600,111600,117900,146700,9.501026397,,,2354.484709,2729.970759,,0
2296.7,5.8,1.6,7.38,46586,136812.1398,91253.52989,8120.378274,1408500,644400,687600,382500,179100,1074.511189,7580.609149,5287.66826,16.04371016,13730.70506,1159.322049,0
4156.3,10.8,1.4,39.73,28043,50513.45672,50900.56119,580.181171,0,20700,331200,202500,90900,1218.712148,935.634934,935.634934,625.4894485,10538.82636,,53
3239.4,6.2,1.6,33.28,30569,83475.45833,21222.03748,4169.849007,49500,261900,517500,78300,51300,1567.674513,377.2140333,377.2140333,,16025.63843,,27
1410.1,3.8,1.7,23.54,50910,145424.7615,8118.239987,199.2650153,311400,900900,538200,20700,2700,1165.694687,,,,16995.26134,,0
102.5,1.4,2.3,1.9,63643,156383.5502,11565.91589,12278.32157,16536600,1604700,705600,35100,7200,85.24936348,,,,36535.65345,,0
113.1,0,1.5,18.71,69428,50698.76167,3288.812339,3796.436653,6908400,935100,324900,64800,3600,85.19074013,6697.882683,4950.798679,,17472.17698,3221.38943,0
752.4,2.5,2,19.08,58739,148879.2482,25930.60442,5853.924953,1376100,1170900,813600,137700,21600,456.1176321,6812.000522,3406.000261,,19749.15638,474.8649764,0
2858.2,20.3,1,47.84,17791,37860.9106,55133.29188,3267.015891,0,99000,332100,151200,112500,1061.765754,,,1012.458578,9814.382343,,138
1511.7,15.7,1.4,35.24,25728,53488.98398,116447.9079,2152.110877,658800,355500,632700,420300,287100,424.7688509,4591.194655,3267.44466,1478.471591,13376.22654,,3
2629.4,1.6,1.7,16.41,57201,29806.75311,50441.88958,16078.14939,0,8100,81900,235800,239400,1026.299394,3562.648071,2257.932437,1126.765239,5696.530066,818.3717594,34
3025.3,4.3,2,50,30000,552.2625942,135761.5306,1801.893912,13500,86400,143100,318600,342900,8.612810558,5642.429401,3826.119944,2474.216389,4570.713619,2444.972597,29
12995.7,17,0,61.83,10253,42129.76833,26729.08031,0,900,24300,272700,257400,40500,7790.829988,3484.44526,1742.22263,4282.934552,4374.751841,2994.965311,171
3508,0.8,1.7,22.53,37389,112607.9941,86403.11243,9215.607628,333900,525600,728100,263700,191700,956.63644,1710.524847,997.4891321,3457.917216,14696.14523,,0
2924.6,0,1.1,22.09,32316,84211.62406,48510.63729,0,353700,302400,522900,170100,128700,933.9611231,5930.316055,3015.661355,1924.1693,7726.567766,,0
922.8,1.8,1.9,10.31,42712,190259.1271,52982.90957,13636.12656,2700900,2331000,1217700,468900,156600,475.1457602,10705.23398,5916.998922,,23353.62813,10796.41783,0
2459,18.8,0,30.97,19065,50900.77231,74755.50255,51796.58309,42300,288900,641700,434700,617400,476.2600826,1336.57721,1336.57721,1584.139451,12867.21099,278.1297357,78
3395.2,15.6,1.1,32.12,24918,113880.9333,17450.55269,2051.527153,38700,208800,659700,172800,22500,1835.582499,1994.922699,1994.922699,1077.244475,13215.22355,53.8265236,94
9449.4,0,0,0,0,4653.323716,62342.78416,0,0,4500,39600,63900,122400,11.24431853,4091.952882,2468.611202,17.39772975,2567.430455,,317
7246.7,1.7,1.7,16.3,57044,21926.67576,32914.50387,1005.755593,0,0,31500,85500,103500,2884.528358,1836.619945,1380.39488,1279.373553,3525.413354,,70
2392.6,0,0,0,0,0,50780.25595,10318.2033,0,900,18000,102600,183600,0,1737.799008,1371.294323,1032.495089,1788.027666,354.1181611,47
1627.2,0,1.7,16.67,60675,2873.334455,6959.559911,290.1731875,1800,5400,58500,63000,34200,158.0277415,3953.523113,2064.708306,2131.423709,286.486401,,22
6008.3,0,0.9,25,29226,0,6337.932182,0,90900,1800,18000,47700,27000,83.46157791,979.9884148,643.3786508,1246.905455,73.22757116,2304.44082,30
44319.2,0,0,0,0,1114.207821,8223.855505,11538.26084,0,0,0,900,54900,47.02887275,54.61375403,27.30687702,1971.695503,237.4905001,93.90810587,245
92765,0,0.8,25,7500,7885.682606,17099.97841,0,0,0,0,5400,49500,184.7907756,54.61375403,27.30687702,1810.692795,460.0827616,87.93764233,851
60759.9,4.2,0,0,33199,0,30341.74672,4669.456626,0,0,0,16200,68400,3587.426211,273.4591422,246.2609835,1995.891024,757.6648985,125.0020784,793
116330.7,0,0,0,0,0,28926.52011,6282.098913,4500,0,0,20700,74700,0,273.4591422,246.2609835,1145.900337,1368.898718,229.9854584,101
29555.2,6.1,1.2,31.96,27785,5432.25626,24416.8823,2195.009959,0,0,3600,37800,99000,1831.57709,1126.086934,1126.086934,313.8164567,2158.471005,243.5163638,45
47765.7,4.4,0.9,30.93,33036,1452.069279,34167.87297,8420.032395,0,0,4500,36000,152100,3649.527308,701.3547835,701.3547835,1031.124523,3407.78122,587.0900075,198
15433.5,3.9,0.9,31.19,32502,1409.253068,54876.81876,4431.537405,900,0,6300,67500,149400,912.9976136,709.9286685,709.9286685,1283.315776,2211.020857,644.4765903,1
2415.8,2.5,1.7,8.03,63837,168220.1133,39378.47195,8123.417997,9900,713700,658800,153900,45000,1956.700974,1147.766478,999.5319088,750.2802146,24316.71596,172.2258753,77
641.4,0,2.2,2.4,120883,96979.30424,10460.03083,639.9544617,767700,1240200,338400,36000,8100,327.8134458,1794.048002,1794.048002,33.451717,13520.42382,537.8756044,4
1317.4,0.2,1.5,4.65,81261,116238.9736,21976.90479,523.2876709,339300,363600,516600,131400,14400,894.2840694,1274.887886,781.1957246,1252.106311,9922.010928,119.459373,6
5562.7,0,1.5,4.71,84385,4156.238904,9662.800582,4066.070537,117900,24300,46800,67500,24300,857.7787752,2493.308557,1888.384002,32.7955163,1311.99752,2436.90166,67
6013.8,2,1.5,14.29,45873,15686.81446,70802.07643,4253.094392,133200,108900,215100,229500,141300,1191.015376,6553.84052,4474.101119,724.7761141,4863.303645,2575.978289,56
1579.4,4,1.6,13.02,47485,76495.14601,47338.59652,809.2255884,629100,878400,467100,230400,87300,825.4385759,10841.07839,5895.266524,3619.798569,14666.77175,,0
15287.6,6.4,1.9,24.22,35430,16437.21816,41120.11213,0,2700,16200,125100,110700,29700,1632.678307,1123.173534,1123.173534,43.35573338,3896.473542,3319.382329,124
16194.4,6.6,1.3,33.19,24352,37282.54791,20510.37247,299.8018463,0,900,53100,161100,65700,3060.187548,2251.457478,2251.457478,278.2497727,3927.073019,1138.846579,19
997.1,0,0,0,0,0,11891.32896,757.4021061,900,3600,64800,66600,41400,14.44844781,3297.755566,1736.824533,1477.078482,1070.602223,,2
1271.7,0,0,0,0,0,11135.53672,0,1800,1800,21600,41400,23400,0,787.6930057,393.8465029,324.330102,,,0
2398.2,0,0,0,0,2505.718218,11204.95639,121.0288512,209700,23400,80100,72000,27900,0,673.2195279,336.609764,1363.706029,3396.989953,4250.567198,0
18554.2,0,0,0,0,0,64898.60435,0,18900,91800,119700,119700,81900,0,3419.000726,1709.500363,2445.160953,1456.438718,3502.87849,13
8054.2,0,0.9,28.57,31872,1504.677354,7019.93418,4515.662053,0,8100,21600,40500,33300,344.6571738,1563.65023,781.8251149,747.4517046,463.3175931,496.0425969,187
54104,3.8,0.9,30.39,33106,694.8546726,8931.911195,12329.95215,0,0,12600,33300,45000,2340.299009,1907.973343,963.4624311,476.1381361,983.0813279,,93
25974.6,0,0,0,0,2550.686761,6739.259442,10326.20417,0,0,2700,25200,34200,0,1365.076359,682.5381796,411.2494269,326.8449393,,385
7227.3,6.8,1.3,34.78,24439,8274.915939,149836.2704,21106.64748,0,14400,124200,245700,494100,227.6448186,1160.407386,1160.407386,1215.460778,6479.411212,,263
1943.2,10.7,1.1,46.12,29581,63059.73645,38323.01043,3272.801988,357300,523800,440100,150300,65700,816.3530826,756.0219052,756.0219052,2726.952028,16286.7987,271.6781031,1
3240.6,11.9,1,24.39,30750,46107.82296,32686.09738,392.9652651,321300,358200,234000,102600,27000,1607.088928,964.3258196,656.576765,227.7104722,11740.84571,48.36523543,119
17057.8,16.2,0.8,54.24,14759,61691.02271,104291.7081,2688.395939,7200,119700,459900,248400,78300,1389.153566,477.3624536,477.3624536,1680.349909,10675.66762,538.0191572,24
14078.5,3,1.3,15.11,26523,43631.51155,38821.49219,544.7057196,0,11700,208800,196200,78300,1330.151475,669.9530334,649.9433608,1214.675768,7829.329101,,101
5750.4,6.6,1.3,33.5,24829,25879.59403,37133.12157,811.1234087,0,1800,90000,181800,74700,1917.066166,1402.956398,1402.956398,503.8482302,4469.080966,408.2745757,52
5959.4,1.7,1.7,16.24,56755,15589.5053,37291.98934,71.43492892,1800,2700,45000,120600,160200,1146.828668,4045.862298,2152.067644,1666.656939,4676.841629,58.73165729,87
7334.8,4.7,0.9,30.92,32906,12269.32849,13097.45181,6338.487491,104400,16200,61200,142200,40500,2765.256694,1614.172707,1144.598137,2876.678334,2089.400507,3567.376494,366
407,8.2,1.6,20.27,31424,10794.38913,5065.553962,2926.047569,378900,51300,95400,67500,14400,351.3641246,3407.664696,1717.508278,846.7554441,836.622213,2503.665396,10
14619,5.6,1.2,24.24,32455,1379.982978,2409.530443,0,2700,900,2700,40500,8100,1568.972214,,,2283.063279,296.2212887,746.9003269,67
10477.8,7.5,1.5,19.75,30618,5569.711036,19337.82052,0,0,1800,43200,81900,25200,1502.624596,,,1136.61701,1966.551535,657.1520012,15
13757.1,7,1.1,28.04,31453,1899.520156,29942.30477,4565.09115,0,0,2700,69300,65700,1688.154604,579.6548618,579.6548618,346.944997,2267.19176,362.3565491,105
