No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
62,2500,183709,469,1222,695,63,632,551.4,1.8,2.4,1.260530091,0,0,1278,3957443.23,131992,218,1766,1862,0.61366734,0.64702638,0.4868327574,0.5132970523,0,0,0
63,1990,43949,303,786,681,272,409,1107.9,2.7,2,0.614681501,86,21.55,758,4817951.229,30029,50,383,1380,0.13308867,0.4795362,0.216516472,0.7801376798,12,7,5
64,2210,0,0,0,1661,1661,0,284.3,0,0,5.842942202,0,0,0,0,0,0,7814,8987,2.71528686,3.12289263,0.4647122573,0.5344726205,15,16,1
65,1980,48645,607,1124,1032,140,892,2420.3,7.3,1.6,0.426414061,64,9.13,1576,14438480.84,37935,63,41,1185,0.01424709,0.41177565,0.03341139822,0.9656708999,0,0,0
66,2350,56384,356,612,481,59,422,180.9,13.6,2.2,2.658612846,17,6.03,941,1380781.539,51093,84,6368,1279,2.21281632,0.44443971,0.8323198781,0.1671697745,0,0,0
67,2360,85188,675,1323,1109,284,825,206.7,8.1,1.9,5.365862404,103,15.06,1609,1169608.602,59024,97,12707,2736,4.41555543,0.95073264,0.8228976253,0.1771817032,0,0,0
68,1850,71107,1077,1743,2740,1458,1282,2188,4.1,1.7,1.252287736,153,15.16,2506,7810638.675,47336,78,809,2798,0.28111941,0.97227702,0.2244846787,0.7764006562,0,0,0
69,1830,60974,598,767,840,110,730,548.1,3,1.7,1.532629294,68,15.32,1306,3325831.201,41990,69,3005,1404,1.04420745,0.48787596,0.6813176899,0.3183261353,0,0,0
70,1860,73085,532,1102,1083,258,825,1123.6,0,1.8,0.963914966,125,20.87,1221,4943564.989,60057,99,1031,1741,0.35826219,0.60498009,0.3716740611,0.6276280703,0,0,0
71,3010,57781,484,919,1525,976,549,676,1.6,1.5,2.255999042,0,0,1100,1902906.71,36860,61,4946,1553,1.71868554,0.53965197,0.7618290203,0.2392075351,0,0,0
72,1870,74422,848,1766,1256,181,1075,722.8,0,2,1.737665652,92,10.42,2286,5133955.012,67271,111,2342,2659,0.81382158,0.92397591,0.4683418695,0.5317340013,0,0,0
73,1090,63916,748,982,951,193,758,2432.2,1.4,1.6,0.390958791,76,12.34,1582,15818640.73,46702,77,8,1119,0.00277992,0.38884131,0.007110519226,0.9945838767,493,491,2
74,450,49487,61,69,429,359,70,3084.1,5.4,1.6,0.139143304,14,31.82,175,4915511.409,30531,50,0,402,0,0.13969098,0,1.003936057,143,115,28
75,1610,40851,26,23,1142,1109,33,1184.2,7.1,1.4,0.964356764,3,17.65,46,186264.9834,28027,46,519,2257,0.18034731,0.78428493,0.1870130607,0.8132725971,39,26,13
76,1140,44061,311,485,483,41,442,727,11.9,1.9,0.664356827,24,9.3,798,4692791.14,37978,63,846,1064,0.29397654,0.36972936,0.442497959,0.5565222558,22,23,1
77,2750,162152,3,0,909,904,5,2105.1,0,0,0.431790766,0,0,9,81408.19774,200001,330,338,901,0.11745162,0.31308849,0.272010495,0.7250930651,0,0,0
78,1120,71229,593,1017,976,160,816,1491.9,4.2,1.8,0.65423899,49,8.45,1464,8745526.974,41683,69,352,1530,0.12231648,0.5316597,0.1869599365,0.8126383602,35,47,12
